KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
8_10106,8_2703,8_14452,8_3068,8_6271,8_2310
8_10074,8_5931,8_2217,8_3070,8_6293,8_2311
8_10398,8_2631,8_2214,8_10609,8_6291,8_10306
8_10316,8_5868,8_2571,8_3039,8_6290,8_1920
8_3867,8_5768,8_2570,8_3038,8_6289,8_1927
8_5892,8_5767,8_3756,8_10615,8_6287,8_1925
8_5893,8_10260,8_2554,8_10610,8_6286,8_1922
8_10337,8_14171,8_2208,8_3064,8_6283,8_11145
8_10494,8_5865,8_2209,8_10620,8_6279,8_10989
8_10228,8_3033,8_9390,8_3165,8_6275,8_10988
8_10504,8_2831,8_9391,8_10625,8_6274,8_1230
8_3820,8_10163,8_9392,8_10619,8_6273,8_11144
8_6587,8_10212,8_3871,8_10629,8_6272,8_12842
8_10394,8_5858,8_2196,8_3088,8_6270,8_5675
8_10411,8_2691,8_4327,8_10633,8_6269,8_5674
8_2920,8_10405,8_4326,8_10618,8_6268,8_5673
8_2935,8_9974,8_4320,8_3030,8_6267,8_5672
8_10454,8_5890,8_4321,8_10621,8_6266,8_5671
8_10456,8_10266,8_2509,8_3046,8_6265,8_5670
8_6630,8_10187,8_2533,8_10586,8_6264,8_5668
8_6621,8_10188,8_2557,8_3016,8_6262,8_5667
8_6608,8_14185,8_2254,8_3089,8_6261,8_5666
8_10313,8_14176,8_2567,8_10607,8_6294,8_5665
8_2913,8_9833,8_2586,8_10599,8_6260,8_5669
8_10326,8_5936,8_9471,8_10606,8_6296,8_1535
8_2906,8_10427,8_9473,8_10598,8_6298,8_10155
8_4423,8_14279,8_9474,8_10600,8_6297,8_10280
8_10017,8_14278,8_9470,8_10605,8_6312,8_10388
8_10500,8_10385,8_9472,8_10597,8_6311,8_10387
8_10050,8_10274,8_9387,8_10595,8_6310,8_5832
8_2696,8_4389,8_3999,8_10601,8_6308,8_5833
8_2695,8_4390,8_14461,8_10596,8_6309,8_11310
8_4446,8_10368,8_14459,8_10604,8_6304,8_5532
8_10091,8_10195,8_2274,8_10603,8_6303,8_5531
8_10054,8_14182,8_2589,8_10602,8_6301,8_1229
8_10402,8_10147,8_2578,8_3072,8_6300,8_10390
8_6577,8_2615,8_9383,8_10585,8_6299,8_10270
8_10386,8_10050,8_2536,8_3018,8_6306,8_13435
8_10303,8_2653,8_2538,8_10627,8_10657,8_11140
8_10279,8_5771,8_9457,8_10540,8_10660,8_1821
8_10070,8_6592,8_14450,8_10539,8_10659,8_1688
8_2641,8_10386,8_14533,8_10541,8_10658,8_10391
8_10162,8_10317,8_14534,8_10538,8_10656,8_10232
8_2911,8_6555,8_14536,8_3047,8_10648,8_3330
8_4429,8_10486,8_14537,8_10611,8_10654,8_3331
8_14185,8_2650,8_2507,8_10626,8_10653,8_3332
8_2694,8_10310,8_2513,8_10594,8_10651,8_3333
8_10281,8_9815,8_9454,8_2861,8_10665,8_1562
8_14478,8_2619,8_9381,8_2860,8_10655,8_1489
8_3796,8_6791,8_4055,8_2859,8_10661,8_12880
