Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,7523,7133,1,13,0.9285714285714286,0.5128834355828221,0.48711656441717793,0.3226523705179168,8.931655527747974e-05,0.0011486650760285208,0.057659355389100844,0.0006317383985229031,0.0012497836793416738
MiniBatchKMeans,7548,7108,1,13,0.9285714285714286,0.514587593728698,0.485412406271302,0.32272572482900314,0.00010120945610220012,0.001157049587380316,0.05803907221843453,0.0006359846956454171,0.0012581823903276316
GMM,3972,10684,3,11,0.7857142857142857,0.27096114519427406,0.7290388548057259,0.13127090752755458,-0.0002503128158484101,-9.533266634214787e-05,0.0010743998928048253,1.3959826336703329e-05,2.7561541751211507e-05
Hierarchical (ward),4451,10205,0,14,1.0,0.30340831629175186,0.6965916837082481,0.2659203497806948,-0.0010731889892698675,0.0009953887287762538,0.04548185914588865,0.0005625350536176041,0.0011113248645384566
Spectral,20,14636,3,11,0.7857142857142857,0.0015678254942058623,0.9984321745057941,0.45678585596522986,0.1608253512505043,0.08655119250926196,0.11063175815577421,0.07182678875186942,0.08710278643537538
Birch,7556,7100,2,12,0.8571428571428571,0.5152010906612133,0.48479890933878667,0.3047231422786847,8.810120961365602e-05,0.000731430638121753,0.03840582216808238,0.00042086827749747446,0.0008326124135875344
