KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
8_1578,8_1578,8_9042,8_5108,8_4781,8_1578
8_532,8_532,8_10210,8_7438,8_7082,8_532
8_1798,8_1798,8_12859,8_5393,8_10981,8_1798
8_3230,8_3230,8_8416,8_4947,8_11563,8_504
8_12571,8_12571,8_10482,8_1446,8_2466,8_3230
8_504,8_504,8_9526,8_5216,8_11209,8_12571
8_12535,8_12535,8_11371,8_4566,8_2817,8_12535
8_2415,8_2415,8_10058,8_7023,8_12094,8_2415
8_12506,8_12506,8_8683,8_7573,8_11554,8_4913
8_4654,8_4654,8_11987,8_8269,8_8661,8_4654
8_4913,8_4913,8_6451,8_2672,8_6947,8_4387
8_4387,8_4387,8_6178,8_13501,8_7127,8_8165
8_8165,8_8165,8_9036,8_13530,8_9564,8_12506
8_13133,8_13133,8_9139,8_2719,8_6603,8_12837
8_13386,8_13386,8_9125,8_889,8_10166,8_13386
8_12837,8_12837,8_9443,8_13853,8_8221,8_13491
8_2169,8_2169,8_8788,8_13005,8_11841,8_2165
8_13491,8_13491,8_9625,8_4723,8_10647,8_7428
8_2165,8_2165,8_11163,8_3481,8_10894,8_12536
8_12536,8_7428,8_9597,8_13378,8_5491,8_13133
8_7428,8_12536,8_8794,8_13047,8_8010,8_12573
8_13036,8_12573,8_9771,8_523,8_6381,8_12624
8_12573,8_13036,8_10466,8_12547,8_11581,8_2169
8_13463,8_13463,8_9897,8_3392,,8_5229
8_5278,8_5278,8_10372,8_4666,,8_12532
8_12907,8_12624,8_9248,8_13531,,8_220
8_12835,8_12907,8_9675,8_13701,,8_5278
8_12624,8_12835,8_9893,8_13503,,8_7744
8_12532,8_12532,8_9038,8_1037,,8_13463
8_5229,8_5229,8_8042,8_8205,,8_13036
8_220,8_220,8_10378,8_3771,,8_12907
8_1324,8_7744,8_9984,8_499,,8_12835
8_7744,8_1324,8_9516,8_13006,,8_1324
8_7497,8_7497,8_10989,8_14270,,8_7497
8_3233,8_3233,8_12858,8_6080,,8_6984
8_617,8_617,8_9053,8_6964,,8_13277
8_1466,8_1466,8_6453,8_13504,,8_7024
8_7024,8_7024,8_8440,8_752,,8_1466
8_13277,8_6984,8_11498,8_1866,,8_617
8_6984,8_13277,8_6450,8_13381,,8_3233
8_12566,8_12566,8_10468,8_2456,,8_13310
8_13310,8_13310,8_8464,8_4032,,8_12902
8_12507,8_12507,8_9199,8_13004,,8_3666
8_3666,8_3666,8_11497,8_5399,,8_494
8_13543,8_13543,8_6485,8_5207,,8_12507
8_12902,8_12902,8_6245,8_13382,,8_131
8_494,8_494,8_8671,8_13026,,8_12566
8_1122,8_1122,8_10308,8_14341,,8_13543
8_131,8_131,8_11617,8_835,,8_4216
8_1848,8_1848,8_7684,8_13852,,8_1122
