KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_87,5_65,5_63,5_87,5_87,5_10
5_109,5_6,5_41,5_30,5_109,5_30
5_30,5_93,5_31,5_109,5_30,5_109
5_105,5_87,5_25,5_10,5_105,5_105
5_88,4_13,5_49,5_105,5_88,5_37
5_10,5_88,5_80,5_110,5_10,5_87
5_110,5_75,5_58,5_51,5_110,5_24
5_51,5_51,5_38,5_88,5_51,5_85
5_6,5_110,5_53,5_70,5_6,5_70
5_85,4_18,5_40,5_103,5_85,5_103
5_19,5_90,5_60,5_85,5_19,5_110
4_13,5_66,5_5,4_13,4_13,5_51
5_93,5_83,5_37,5_93,5_93,5_28
5_61,5_73,5_108,5_6,5_61,5_56
5_70,5_61,5_36,5_19,5_70,5_3
5_103,5_55,5_57,5_29,5_103,4_13
5_75,5_19,5_102,5_75,5_75,5_41
4_18,5_106,5_22,5_61,4_18,5_63
5_66,5_89,5_10,5_66,5_66,5_99
5_29,5_98,5_100,4_18,5_29,5_81
5_24,4_3,5_9,5_24,5_24,5_88
5_55,5_1,5_30,5_55,5_55,5_66
5_89,5_29,5_109,5_56,5_89,5_29
5_83,5_92,5_3,5_28,5_83,5_75
5_1,5_91,5_24,5_83,5_1,5_42
5_28,5_78,5_15,5_37,5_28,5_19
5_56,5_72,5_28,5_89,5_56,5_108
5_81,4_11,5_56,5_81,5_81,5_80
5_65,4_24,5_59,5_3,5_65,5_58
5_73,5_69,5_42,5_99,5_73,4_18
5_37,4_6,5_70,5_1,5_37,5_53
5_3,5_104,5_103,5_73,5_3,5_102
5_99,,4_13,5_91,5_99,5_55
5_91,,5_110,5_65,5_91,5_36
4_11,,5_51,4_11,4_11,5_31
5_98,,5_29,5_98,5_98,5_93
5_42,,5_84,5_42,5_42,4_11
5_90,,5_8,5_36,5_90,5_22
5_106,,5_55,5_90,5_106,5_61
5_78,,5_86,5_22,5_78,5_100
4_3,,5_11,5_106,4_3,5_89
5_92,,5_23,5_57,5_92,5_40
5_72,,5_26,5_78,5_72,5_60
4_24,,5_47,5_59,4_24,5_49
5_71,,5_34,4_3,5_71,5_6
5_69,,5_19,4_24,5_69,5_57
4_6,,5_44,5_92,4_6,5_25
5_104,,5_83,5_72,5_104,5_91
,,5_74,5_71,,5_38
,,5_95,5_107,,5_83
