Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,40,48,16,35,0.6862745098039216,0.4028776978417266,0.5971223021582733,0.29628612514797903,-0.002916415266581687,0.009178771191173767,0.014788164913755982,0.014418054977391239,0.014600764873778862
MiniBatchKMeans,56,32,24,27,0.5294117647058824,0.5755395683453237,0.4244604316546763,0.24473084150737204,0.029778523212988264,0.014091180831628419,0.019815659596336833,0.019106326600606943,0.01945452948564025
GMM,25,63,8,43,0.8431372549019608,0.23741007194244604,0.762589928057554,0.14528279107272737,-0.024552568942543578,0.012022329566836819,0.016531361769632626,0.01982548880655668,0.01802919243701678
Hierarchical (ward),35,53,19,32,0.6274509803921569,0.38848920863309355,0.6115107913669064,0.2850354643500126,-0.008714844039728732,-0.005057654254453729,0.00047259228370919555,0.0004649673469774269,0.0004687488094967173
Spectral,40,48,17,34,0.6666666666666666,0.41007194244604317,0.5899280575539568,0.2950500946748771,-0.004655858833607534,0.005265886739290767,0.01085712142884218,0.010542804481556905,0.010697654649466048
Birch,10,78,10,41,0.803921568627451,0.14388489208633093,0.8561151079136691,0.3143010647645054,0.032886142902322425,0.004727537471392958,0.009459326640705125,0.015092743828447221,0.011629747801281677
