Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,25,63,16,35,0.6862745098039216,0.2949640287769784,0.7050359712230215,0.43184206728129837,0.0011894415345918151,-0.00503761312958859,0.0007426103950771187,0.0008047483008455393,0.000772431699519032
MiniBatchKMeans,27,61,14,37,0.7254901960784313,0.2949640287769784,0.7050359712230215,0.27108958050483606,-0.011453730091552592,-0.004880946635458509,0.0008923577476127955,0.000967025759265293,0.0009281925167448621
GMM,24,64,15,36,0.7058823529411765,0.2805755395683453,0.7194244604316546,0.4390134799758739,-0.0004056078453429961,-0.005457402934035366,0.000398968694434954,0.0004418523197107702,0.00041931692991086346
Hierarchical (ward),18,70,9,42,0.8235294117647058,0.19424460431654678,0.8057553956834532,0.46876183594162385,-0.012408024128183379,-0.005405370042060312,0.0008993184088969019,0.0012006671576442005,0.0010283709517164565
Spectral,30,58,9,42,0.8235294117647058,0.2805755395683453,0.7194244604316546,0.23781874948953793,-0.018134314819817428,0.020340787852619665,0.024801779401183114,0.02746762819796683,0.02606672187540803
Birch,18,70,9,42,0.8235294117647058,0.19424460431654678,0.8057553956834532,0.46876183594162385,-0.012408024128183379,-0.005405370042060312,0.0008993184088969019,0.0012006671576442005,0.0010283709517164565
