KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_25,4_13,5_25,5_25,5_51,5_25
5_78,5_51,5_78,5_22,4_13,5_22
5_106,4_11,5_106,5_65,4_11,5_65
5_10,5_60,5_9,5_70,5_60,5_70
5_9,5_61,5_10,5_72,5_61,5_72
5_22,5_30,5_22,5_69,5_30,5_69
5_72,5_29,5_108,5_71,5_29,5_71
5_71,5_11,5_75,5_74,5_11,5_74
5_73,5_33,5_74,5_75,5_63,5_75
5_74,5_44,5_69,5_108,5_33,5_108
5_75,5_103,5_72,5_73,5_65,5_73
5_70,5_66,5_73,5_78,5_87,5_78
5_108,5_63,5_70,5_9,5_103,5_9
5_69,5_65,5_71,5_10,5_44,5_10
5_65,5_69,5_65,5_106,5_37,5_106
5_40,5_108,5_40,5_30,5_22,5_30
5_42,5_74,5_42,5_29,5_36,5_29
5_30,5_70,5_29,5_63,5_8,5_63
5_29,5_71,5_30,5_11,5_86,5_11
5_17,5_75,5_17,5_8,5_25,5_8
5_15,5_73,5_15,4_11,4_24,4_11
5_14,5_72,5_14,5_42,5_7,5_42
5_63,5_36,5_63,5_40,5_38,5_40
5_8,5_87,5_23,5_14,5_85,5_14
5_23,5_37,5_8,5_15,5_99,5_15
5_11,5_14,5_11,5_17,5_102,5_17
4_18,5_22,4_11,5_51,5_100,5_51
5_91,5_86,4_18,5_23,5_31,5_23
4_11,5_38,5_91,5_91,5_88,5_91
5_107,5_25,5_107,5_3,4_3,5_3
5_5,5_8,5_5,5_107,5_34,5_107
5_3,5_99,5_3,4_18,4_6,4_18
5_6,5_100,5_19,5_61,5_15,5_61
5_19,5_102,5_6,5_60,5_84,5_60
5_24,4_24,5_24,5_87,5_42,5_87
5_51,5_7,5_51,4_3,5_40,4_3
4_28,5_31,4_3,5_5,5_90,5_5
4_3,5_88,4_28,4_28,5_91,4_28
5_26,5_85,5_26,5_6,5_3,5_6
5_87,5_34,5_60,5_24,5_53,5_24
5_60,4_3,5_61,5_66,5_17,5_66
5_61,5_47,5_87,5_19,5_89,5_19
5_90,4_6,5_66,4_13,5_1,4_13
5_7,5_84,5_90,5_7,4_28,5_7
5_28,5_90,5_7,5_26,5_47,5_26
5_1,5_91,5_28,5_90,4_18,5_90
5_89,5_3,5_1,5_89,5_5,5_89
5_85,5_53,5_89,5_1,5_6,5_1
5_53,5_89,5_85,5_85,5_41,5_85
5_86,5_1,5_53,5_33,5_93,5_33
