KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_43,5_77,5_64,5_43,5_49,5_52
5_49,5_25,5_65,5_25,5_43,5_33
5_25,5_49,5_90,5_49,5_25,5_68
5_5,5_38,5_93,5_5,5_5,5_44
5_46,5_5,5_75,5_46,5_46,5_74
5_77,5_40,4_3,5_38,5_77,5_95
5_38,5_60,5_79,5_67,5_38,5_12
5_8,5_58,5_106,5_8,5_8,5_46
5_12,5_80,5_66,5_77,5_67,5_8
5_67,5_63,5_73,5_60,5_40,5_26
5_26,5_41,5_87,5_40,5_60,5_43
5_60,5_31,4_18,5_26,5_12,5_35
5_40,5_45,5_89,5_44,5_26,5_16
5_47,5_57,5_88,5_68,5_68,5_47
5_68,5_9,5_105,5_12,5_44,5_94
5_9,5_53,5_101,5_52,5_9,5_67
5_44,5_4,5_92,5_47,5_52,5_54
5_52,5_43,5_85,5_74,5_47,5_14
5_94,5_102,5_98,5_9,5_94,5_17
5_57,5_108,5_91,5_94,5_57,4_15
5_80,5_100,4_5,5_58,5_58,
5_58,5_22,4_11,5_80,5_80,
5_74,5_36,5_72,5_33,5_74,
5_33,5_15,5_81,5_15,5_33,
5_15,5_37,5_99,5_31,5_15,
5_31,5_67,4_21,5_95,5_31,
5_95,5_76,4_24,5_45,5_95,
5_63,5_39,5_69,5_63,5_41,
5_41,5_59,5_96,5_41,5_63,
5_45,5_46,4_14,5_100,5_45,
5_59,5_8,4_6,5_53,5_59,
5_53,5_21,5_104,5_102,5_53,
5_100,5_94,4_7,5_108,5_100,
5_22,5_10,,5_34,5_22,
5_102,4_10,,5_84,5_102,
5_36,5_26,,5_11,5_36,
5_34,5_3,,4_25,5_108,
5_108,5_47,,5_23,5_34,
5_11,5_12,,5_14,5_11,
5_84,5_24,,5_86,5_84,
5_23,5_20,,4_28,5_23,
5_14,5_109,,4_22,5_14,
5_86,5_30,,4_23,5_86,
4_25,4_12,,5_35,4_25,
5_35,5_42,,5_16,4_22,
4_22,5_84,,4_20,4_23,
4_23,5_44,,4_19,4_28,
4_28,5_68,,4_26,5_35,
5_16,5_56,,5_7,5_16,
5_107,5_28,,5_54,5_107,
