KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_78,4_13,5_78,5_25,5_51,5_25
5_25,5_51,5_25,5_22,4_11,5_22
5_106,4_11,5_10,5_65,4_13,5_65
5_10,5_60,5_106,5_78,5_60,5_78
5_9,5_61,5_9,5_70,5_61,5_70
5_22,5_30,5_22,5_108,5_29,5_108
5_69,5_29,5_72,5_72,5_30,5_72
5_70,5_33,5_70,5_73,5_63,5_73
5_72,5_44,5_108,5_74,5_65,5_74
5_73,5_103,5_73,5_75,5_33,5_75
5_74,5_63,5_74,5_69,5_87,5_69
5_108,5_67,5_75,5_106,5_22,5_106
5_75,5_66,5_69,5_9,5_37,5_9
5_43,5_65,5_39,5_10,5_8,5_10
5_42,5_13,5_40,5_29,5_103,5_29
5_40,5_69,5_42,5_30,5_44,5_30
5_39,5_70,5_43,4_17,5_25,4_17
4_17,5_108,4_17,5_63,4_26,5_63
5_65,5_72,5_65,5_13,5_86,5_13
5_17,5_74,5_13,5_8,5_7,5_8
5_15,5_73,5_17,5_43,4_24,5_43
5_79,5_75,5_79,5_42,5_36,5_42
5_13,4_26,5_15,5_40,4_17,5_40
5_30,5_87,5_30,5_39,5_16,5_39
5_29,5_36,5_29,5_15,5_12,5_15
5_23,5_37,5_23,4_11,5_85,4_11
5_8,5_14,5_14,5_14,4_3,5_14
5_63,5_22,5_8,5_17,4_22,5_17
5_14,5_86,5_63,5_79,5_38,5_79
4_18,5_38,4_18,5_16,5_15,5_16
4_7,5_25,4_7,5_51,5_88,5_51
5_76,5_8,5_76,5_23,5_31,5_23
5_91,4_24,5_91,5_91,4_6,5_91
5_5,5_100,5_5,5_3,5_99,5_3
5_3,5_50,5_3,4_7,5_100,4_7
5_77,5_99,5_107,4_18,5_101,4_18
5_16,5_101,5_77,5_107,5_102,5_107
5_19,5_102,4_11,5_76,5_50,5_76
5_18,5_7,5_18,4_3,5_42,4_3
5_107,4_17,5_19,5_5,5_43,5_5
4_11,5_16,5_16,5_61,5_40,5_61
5_24,4_22,5_24,5_60,5_39,5_60
4_28,5_12,5_51,5_12,5_90,5_12
4_3,5_31,5_26,5_87,5_34,5_87
5_26,5_88,4_28,4_28,5_84,4_28
5_51,5_85,4_3,5_77,5_91,5_77
5_12,5_34,5_12,5_24,5_3,5_24
5_87,4_6,5_87,5_18,5_53,5_18
5_60,4_3,5_60,5_19,5_17,5_19
5_61,5_47,5_61,5_67,5_1,5_67
