Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,30,72,11,26,0.7027027027027027,0.2949640287769784,0.7050359712230215,0.43184206728129837,-0.003913054522793813,-0.006216295419564295,8.186497128574032e-06,7.820626031684818e-06,7.999380264780042e-06
MiniBatchKMeans,34,68,7,30,0.8108108108108109,0.2949640287769784,0.7050359712230215,0.27108958050483606,-0.036743257682747485,0.01132430269229,0.01784804269466171,0.0170503776059843,0.017440094127474215
GMM,28,74,11,26,0.7027027027027027,0.2805755395683453,0.7194244604316546,0.4390134799758739,0.0032026893134596505,-0.005871238137560454,0.0004304079977788432,0.0004202067396269139,0.00042524619784414195
Hierarchical (ward),20,82,7,30,0.8108108108108109,0.19424460431654678,0.8057553956834532,0.46876183594162385,-0.007209152794987434,-0.006901089316726736,5.133126277057125e-05,6.041370315422766e-05,5.5503380324799717e-05
Spectral,34,68,5,32,0.8648648648648649,0.2805755395683453,0.7194244604316546,0.23781874948953793,-0.046311425465741046,0.02972546503460071,0.03623366691415863,0.035374879456932344,0.03579912354954486
Birch,20,82,7,30,0.8108108108108109,0.19424460431654678,0.8057553956834532,0.46876183594162385,-0.007209152794987434,-0.006901089316726736,5.133126277057125e-05,6.041370315422766e-05,5.5503380324799717e-05
