KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_87,5_13,5_77,5_87,5_87,5_39
5_109,5_65,5_49,5_30,5_109,5_76
5_30,5_93,5_25,5_109,5_30,5_10
5_110,5_79,5_58,5_110,5_110,5_30
5_51,4_13,5_80,5_51,5_51,5_109
5_88,4_17,5_41,5_105,5_88,5_101
5_105,5_83,5_63,5_10,5_105,5_105
5_10,5_75,5_60,5_88,5_10,5_87
5_101,5_87,5_40,5_101,5_101,5_37
4_13,5_88,5_38,5_76,4_13,5_70
4_17,4_18,5_5,5_39,4_17,5_103
5_13,5_90,5_31,4_17,5_13,5_24
5_93,5_51,5_76,4_13,5_93,4_17
5_85,5_110,5_39,5_70,5_85,4_13
5_76,5_66,5_57,5_103,5_76,5_85
5_39,5_55,5_53,5_85,5_39,5_51
5_19,5_73,5_37,5_93,5_19,5_110
5_75,5_106,5_108,5_75,5_75,5_3
4_18,5_61,5_102,5_13,4_18,5_28
5_103,5_98,5_36,5_19,5_103,5_56
5_70,4_3,5_10,5_79,5_70,5_88
5_61,5_89,5_22,5_61,5_61,5_66
5_79,5_19,5_100,5_66,5_79,5_75
5_66,5_92,5_109,4_18,5_66,5_99
5_55,5_29,5_30,5_29,5_55,5_81
5_83,5_1,5_9,5_55,5_83,5_29
5_24,5_91,5_59,5_24,5_24,5_41
5_29,5_78,5_24,5_83,5_29,5_63
5_89,5_50,5_3,5_56,5_89,5_55
5_65,5_72,5_43,5_28,5_65,4_18
5_1,5_18,5_70,5_89,5_1,5_19
5_73,4_11,5_103,5_37,5_73,5_77
5_56,4_24,5_15,5_81,5_56,5_80
5_28,4_26,5_67,5_3,5_28,5_58
5_81,5_69,5_56,5_1,5_81,5_93
5_37,4_6,5_28,5_73,5_37,5_42
5_91,5_104,5_42,5_65,5_91,5_108
5_3,4_7,4_13,5_99,5_3,4_11
5_99,,4_17,5_91,5_99,5_79
4_11,,5_110,4_11,4_11,5_102
5_98,,5_51,5_98,5_98,5_18
5_18,,5_8,5_18,5_18,5_53
5_90,,5_29,5_42,5_90,5_83
5_42,,5_55,5_90,5_42,5_36
5_106,,5_18,5_36,5_106,5_61
4_3,,5_84,5_106,4_3,5_31
5_78,,5_26,5_50,5_78,5_89
5_50,,5_47,5_78,5_50,5_91
5_92,,5_12,5_22,5_92,5_60
5_72,,5_86,5_57,5_72,5_40
