Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,46,56,10,27,0.7297297297297297,0.4028776978417266,0.5971223021582733,0.29628612514797903,-0.011317881188641464,0.016161230386295338,0.023688239537747492,0.020359613973469453,0.02189815731097091
MiniBatchKMeans,64,38,16,21,0.5675675675675675,0.5755395683453237,0.4244604316546763,0.24473084150737204,0.039631937542629815,0.0182369303999159,0.026036892025718336,0.02213105754338086,0.023925616964257376
GMM,28,74,5,32,0.8648648648648649,0.23741007194244604,0.762589928057554,0.14528279107272737,-0.04887754491813736,0.013779432751067754,0.01967546058037571,0.02080101573424616,0.020222588642830514
Hierarchical (ward),42,60,12,25,0.6756756756756757,0.38848920863309355,0.6115107913669064,0.2850354643500126,-0.0152100535649822,-0.0007473700779267872,0.005509821224547563,0.0047787872626605735,0.005118333255685895
Spectral,46,56,11,26,0.7027027027027027,0.41007194244604317,0.5899280575539568,0.2950500946748771,-0.011401535839131947,0.009819261315065868,0.016890138389331084,0.01445835974947,0.015579929601094574
Birch,14,88,6,31,0.8378378378378378,0.14388489208633093,0.8561151079136691,0.3143010647645054,0.011905957055610088,-0.006634873926230046,0.0008312354487454801,0.0011691665869335967,0.0009716573920782423
