KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_38997,9_39025,9_23135,9_11184,9_17407
9_38998,9_39026,9_92775,9_11187,9_78082
9_38999,9_22854,9_79563,9_11186,9_78660
9_39000,9_65226,8_3904,9_11185,9_78521
9_60976,9_61113,9_51007,9_11183,9_20412
9_15521,9_39021,9_21857,9_10202,9_4669
9_39018,9_39022,9_52927,9_10205,9_77702
8_3107,9_24854,8_14502,9_10203,9_78651
9_39020,9_24853,8_14503,9_10206,9_4668
9_22931,9_24852,9_31793,9_10204,9_20399
9_65010,9_24851,9_18025,9_8202,9_4650
9_16123,8_10646,8_3965,9_8203,9_11871
9_39019,8_10666,9_21718,9_8204,9_4667
9_65220,8_10662,8_3966,9_8206,9_4561
9_15524,8_10647,9_23067,9_8207,9_4565
9_63865,8_10663,8_3986,9_11512,9_4564
8_3123,8_10649,8_3991,9_11513,9_4563
9_22942,8_10650,8_3949,9_11514,9_4562
9_60979,8_10652,9_20306,9_11515,9_78439
9_65009,9_15520,9_56972,9_11516,9_20386
9_13771,9_63610,9_56973,9_11457,9_78528
9_15852,9_62517,9_11789,9_11465,9_78527
8_3106,9_62522,9_11790,9_11464,9_17378
9_62296,9_61051,9_11791,9_11463,9_78673
9_60957,9_16134,9_11788,9_11462,9_4630
9_24844,9_16972,9_91072,9_11461,9_77912
9_64092,9_22896,9_16020,9_11446,9_78438
9_25934,8_3220,9_31765,9_11448,9_4628
9_63608,9_61027,8_3903,9_11449,9_76036
9_24846,8_3222,9_23315,9_11452,9_78825
9_39008,9_61028,9_23316,9_11454,9_78668
9_16134,9_91869,9_18648,9_11456,9_78447
9_63887,9_15333,9_18948,9_11460,9_77679
9_22896,9_63608,9_78468,9_11458,9_78676
9_16874,9_62525,9_20240,9_11459,9_75878
9_15858,9_65106,9_20241,9_4507,9_17371
9_17009,9_61072,9_20242,9_6289,9_75269
9_63651,9_61171,9_21611,9_6290,9_77914
9_60892,9_64087,9_91342,9_6291,9_78519
9_63650,9_63348,8_3948,9_6292,9_17678
9_63790,8_3203,9_21752,9_6293,9_78670
9_16972,9_65093,9_51029,9_6288,9_11694
9_22930,9_39019,9_20196,9_6287,9_78582
9_63291,9_65220,9_77966,9_6286,9_75270
9_63610,9_24846,9_53381,9_6295,9_11746
9_62298,9_61086,9_20198,9_6294,9_4627
8_3108,9_15413,9_8867,,9_78643
9_60913,9_15435,9_8868,,9_78026
9_91766,9_61047,9_31756,,9_75131
9_60935,9_39020,9_20213,,9_4613
