Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,59732,50813,3,108,0.972972972972973,0.5398261278195489,0.46017387218045114,0.3312635973438218,0.0003334276362896276,0.0018501232734328373,0.0819970387352846,0.0009422586510911132,0.0018631076352683639
MiniBatchKMeans,58871,51674,3,108,0.972972972972973,0.5320452573742047,0.4679547426257953,0.3306233613296251,0.00026437050523439094,0.0018014124396662362,0.07998052878038578,0.0009175961580334781,0.0018143764390641521
GMM,29410,81135,11,100,0.9009009009009009,0.26587803643724695,0.734121963562753,0.10005864208261186,-0.0007996289786217798,0.0002808136262563373,0.010969102381533391,0.00015017887293510853,0.00029630106390311675
Spectral,11,110534,0,111,1.0,9.940717177559283e-05,0.9999005928282244,-0.04601026154986226,-0.00018072476862012813,-7.948626932571976e-05,1.2583518202493628e-05,9.824186249565501e-05,2.230947923974246e-05
Birch,74661,35884,26,85,0.7657657657657657,0.6749475853094274,0.3250524146905726,0.312864949748213,0.001410005757906307,0.0012699485304419676,0.05171059527305313,0.0006501527786430328,0.0012841599271602346
