Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,30784,79761,13,98,0.8828828828828829,0.278312969924812,0.721687030075188,0.4415170803059677,-0.0007112569015395094,0.00024153942600297476,0.009701451625005433,0.00013007479378779885,0.00025670771064657957
MiniBatchKMeans,29711,80834,12,99,0.8918918918918919,0.2686072151532678,0.7313927848467322,0.44480322814105583,-0.0007556725807948803,0.00025201711403750497,0.009946787681141317,0.00013553800157034297,0.00026743189354776084
GMM,41456,69089,16,95,0.8558558558558559,0.3747831116252169,0.6252168883747831,0.38936479736263324,-0.0004925285600547535,0.00037942309078992776,0.016588880307312277,0.00019884820648054133,0.0003929857566995114
Spectral,46,110499,0,111,1.0,0.00041570271833429726,0.9995842972816658,0.3505571435991906,-0.000587329633005066,-0.00015281335301416758,5.2630313197369985e-05,0.00011426101109860842,7.206597258109047e-05
Birch,14483,96062,3,108,0.972972972972973,0.1309102082128398,0.8690897917871602,0.41100329858812995,-0.001342716504493098,0.00031765132850854313,0.008510213985983842,0.00017385416473639435,0.0003407472439373919
