KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
7_946,7_566,7_2133,7_404,7_1072,7_404
7_1133,7_871,7_1812,7_127,7_1781,7_423
7_1423,7_1133,7_1994,7_423,7_1279,7_127
7_871,7_1423,7_2026,7_355,7_1091,7_1381
7_155,7_946,7_2101,7_554,7_969,7_1199
7_566,7_295,7_1942,7_1381,7_1993,7_554
7_210,7_178,7_1433,7_452,7_1949,7_355
7_452,7_2450,7_2035,7_474,7_1325,7_474
7_576,7_908,7_2246,7_155,7_1359,7_1839
7_1221,7_576,7_2352,7_884,7_1966,7_534
7_443,7_529,7_1947,7_557,7_1365,7_41
7_172,7_315,7_1468,7_1078,7_1339,7_23
7_276,7_318,7_1549,7_1199,7_1024,7_684
7_1514,7_806,7_2319,7_575,7_999,7_704
7_575,7_210,7_2148,7_443,7_1668,7_814
7_315,7_276,7_2077,7_732,7_2457,7_452
7_295,7_1221,7_2261,7_41,7_1323,7_705
7_1611,7_79,7_2178,7_2417,7_2008,7_732
7_2421,7_762,7_1800,7_212,7_1059,7_155
7_178,7_514,7_2137,7_534,7_1469,7_443
7_390,7_66,7_1917,7_814,7_1025,7_881
7_2503,7_1180,7_2371,7_172,7_1150,7_1644
7_529,7_2420,7_1590,7_1839,7_1347,7_172
7_802,7_2401,7_1826,7_705,7_1016,7_142
7_1180,7_328,7_2010,7_538,7_1589,7_122
7_814,7_849,7_1532,7_740,7_1825,7_575
7_884,7_640,7_2030,7_607,7_967,7_116
7_908,7_2400,7_2385,7_461,7_1315,7_1179
7_538,7_635,7_2367,7_142,7_1616,7_1504
7_404,7_1514,7_1940,7_1644,7_966,7_1173
7_2417,7_1026,7_2271,7_704,7_1586,7_1078
7_2392,7_1184,7_1531,7_23,7_1003,7_557
7_41,7_1611,7_1951,7_864,7_1340,7_469
7_557,7_312,7_1842,7_116,7_1104,7_884
7_724,7_42,7_1908,7_122,7_2266,7_470
7_732,7_918,7_2323,7_766,7_2168,7_912
7_212,7_408,7_2272,7_1018,7_1322,7_1299
7_318,7_734,7_1564,7_1257,7_2516,7_303
7_795,7_1027,7_2179,7_303,7_1835,7_212
7_779,7_710,7_1930,7_267,7_1061,7_426
7_2400,7_894,7_2308,7_2421,7_2215,7_526
7_66,7_361,7_2354,7_1046,7_2015,7_1319
7_1644,7_78,7_1905,7_1688,7_1604,7_1117
7_2450,7_32,7_2216,7_390,7_1962,7_2417
7_355,7_2461,7_2318,7_2503,7_2366,7_607
7_864,7_1697,7_2075,7_305,7_1999,7_740
7_1184,7_802,7_2194,7_594,7_2202,7_214
7_116,7_244,7_2204,7_1504,7_2276,7_461
7_635,7_431,7_1964,7_1173,7_1779,7_306
7_305,7_245,7_1786,7_526,7_2359,7_538
