Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,1296,1234,3,18,0.8571428571428571,0.5092120736965896,0.49078792630341045,0.3219117858973656,0.0005701167937501334,0.0060976806827331646,0.05152041313661102,0.0035470457908890257,0.006637141721090709
MiniBatchKMeans,1041,1489,1,20,0.9523809523809523,0.4084672677381419,0.5915327322618581,0.3163913280318203,-0.00428907218028861,0.0074859433189016986,0.060988198874988235,0.004302448278773437,0.008037860940701896
GMM,695,1835,2,19,0.9047619047619048,0.2732261858094865,0.7267738141905136,0.12582291738198206,-0.006497651813613313,0.001916328747376754,0.016992577203460688,0.00138242389860181,0.002556837378612579
Hierarchical (ward),1697,833,6,15,0.7142857142857143,0.6675813406507252,0.3324186593492748,0.2915119705333603,0.009465464747666977,0.006797133445565857,0.05290282343932194,0.003969277092620453,0.007384498312831111
Spectral,243,2287,2,19,0.9047619047619048,0.09604076832614661,0.9039592316738534,0.2759615455246929,-0.00012602732800154283,-0.0012291989074718279,6.471586141379942e-07,9.761672864984767e-08,1.6964446377413376e-07
Birch,1802,728,9,12,0.5714285714285714,0.7099176793414347,0.29008232065856526,0.29098360660332234,0.009314366866633372,0.003752889431420856,0.02980119047170473,0.0023609191840818066,0.0043752230836925175
