KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_109,5_109,5_109,5_109,5_109,5_109
5_30,5_30,5_30,5_30,5_30,5_30
5_76,5_76,5_76,5_76,5_76,5_76
5_39,5_39,5_39,5_39,5_39,5_39
5_10,5_10,5_10,5_10,5_10,5_10
5_101,5_101,5_101,5_101,5_101,5_101
5_51,5_51,5_51,5_51,5_51,5_51
5_110,5_110,5_110,5_110,5_110,5_110
5_103,5_103,5_103,5_103,5_103,5_103
5_70,5_70,5_70,5_70,5_70,5_70
5_87,5_87,5_87,5_87,5_87,5_87
5_105,5_105,5_105,5_105,5_105,5_105
5_24,5_24,5_24,5_24,5_24,5_24
5_37,5_37,5_37,5_37,5_37,5_37
5_88,5_88,5_88,5_88,5_88,5_88
5_85,5_85,5_85,5_85,5_85,5_85
5_75,5_75,5_75,5_75,5_75,5_75
5_56,5_56,5_56,5_56,5_56,5_56
5_28,5_28,5_28,5_28,5_28,5_28
5_19,5_19,5_19,5_19,5_19,5_19
5_3,5_3,5_3,5_3,5_3,5_3
5_66,5_66,5_66,5_66,5_66,5_66
5_55,5_55,5_55,5_55,5_55,5_55
5_79,5_79,5_79,5_79,5_79,5_79
5_93,5_93,5_93,5_93,5_93,5_93
5_81,5_81,5_81,5_81,5_81,5_81
5_99,5_99,5_99,5_99,5_99,5_99
5_29,5_29,5_29,5_29,5_29,5_29
5_80,5_80,5_80,5_80,5_80,5_80
5_58,5_58,5_58,5_58,5_58,5_58
5_63,5_63,5_63,5_63,5_63,5_63
5_41,5_41,5_41,5_41,5_41,5_41
5_61,5_61,5_61,5_61,5_61,5_61
5_42,5_42,5_42,5_42,5_42,5_42
5_108,5_108,5_108,5_108,5_108,5_108
5_83,5_83,5_83,5_83,5_83,5_83
5_53,5_53,5_53,5_53,5_53,5_53
5_77,5_77,5_77,5_77,5_77,5_77
5_91,5_91,5_91,5_91,5_91,5_91
5_18,5_18,5_18,5_18,5_18,5_18
5_13,5_13,5_13,5_13,5_13,5_13
5_36,5_36,5_36,5_36,5_36,5_36
5_89,5_89,5_89,5_89,5_89,5_89
5_60,5_60,5_60,5_60,5_60,5_60
5_40,5_40,5_40,5_40,5_40,5_40
5_1,5_1,5_1,5_1,5_1,5_1
5_102,5_102,5_102,5_102,5_102,5_102
5_49,5_49,5_49,5_49,5_49,5_49
5_57,5_57,5_57,5_57,5_57,5_57
5_31,5_31,5_31,5_31,5_31,5_31
