Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
MiniBatchKMeans,22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
GMM,22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
Hierarchical (ward),22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
Spectral,22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
Birch,22,68,6,14,0.7,0.2545454545454545,0.7454545454545455,0.46888025039253206,0.019597395198994224,-0.0069134816253610945,0.0024817644799781753,0.002074310099240027,0.00225981775989157
