KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
5_46,5_46,5_46,5_46,5_46,5_46
5_26,5_26,5_26,5_26,5_26,5_26
5_12,5_12,5_12,5_12,5_12,5_12
5_47,5_47,5_47,5_47,5_47,5_47
5_43,5_43,5_43,5_43,5_43,5_43
5_8,5_8,5_8,5_8,5_8,5_8
5_52,5_52,5_52,5_52,5_52,5_52
5_9,5_9,5_9,5_9,5_9,5_9
5_44,5_44,5_44,5_44,5_44,5_44
5_33,5_33,5_33,5_33,5_33,5_33
5_74,5_74,5_74,5_74,5_74,5_74
5_15,5_15,5_15,5_15,5_15,5_15
5_34,5_34,5_34,5_34,5_34,5_34
5_68,5_68,5_68,5_68,5_68,5_68
5_94,5_94,5_94,5_94,5_94,5_94
5_67,5_67,5_67,5_67,5_67,5_67
5_95,5_95,5_95,5_95,5_95,5_95
5_14,5_14,5_14,5_14,5_14,5_14
5_11,5_11,5_11,5_11,5_11,5_11
5_23,5_23,5_23,5_23,5_23,5_23
5_84,5_84,5_84,5_84,5_84,5_84
5_35,5_35,5_35,5_35,5_35,5_35
5_86,5_86,5_86,5_86,5_86,5_86
5_16,5_16,5_16,5_16,5_16,5_16
5_7,5_7,5_7,5_7,5_7,5_7
5_54,5_54,5_54,5_54,5_54,5_54
5_82,5_82,5_82,5_82,5_82,5_82
5_17,5_17,5_17,5_17,5_17,5_17
