KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
7_946,7_1133,7_2133,7_404,7_1072,7_971
7_1133,7_1423,7_1812,7_127,7_1781,7_104
7_1423,7_946,7_1994,7_423,7_1279,7_964
7_155,7_566,7_2026,7_355,7_1091,7_74
7_871,7_871,7_2101,7_554,7_969,7_909
7_210,7_295,7_1942,7_1381,7_1993,7_457
7_566,7_178,7_1433,7_452,7_1949,7_1168
7_452,7_576,7_2035,7_474,7_1325,7_1891
7_443,7_529,7_2246,7_155,7_1359,7_242
7_172,7_908,7_2352,7_884,7_1966,7_706
7_576,7_210,7_1947,7_557,7_1365,7_464
7_1221,7_315,7_1468,7_1078,7_1339,7_1176
7_575,7_2450,7_1549,7_1199,7_1024,7_72
7_1514,7_276,7_2319,7_575,7_999,7_1035
7_276,7_1221,7_2148,7_443,7_1668,7_143
7_2421,7_318,7_2077,7_732,7_2457,7_924
7_2503,7_1180,7_2261,7_41,7_1323,7_2425
7_390,7_66,7_2178,7_2417,7_2008,7_587
7_315,7_806,7_1800,7_212,7_1059,7_500
7_1611,7_1514,7_2137,7_534,7_1469,7_782
7_295,7_2401,7_1917,7_814,7_1025,7_657
7_178,7_2420,7_2371,7_172,7_1150,7_147
7_404,7_514,7_1590,7_1839,7_1347,7_1382
7_814,7_79,7_1826,7_705,7_1016,7_620
7_884,7_2400,7_2010,7_538,7_1589,7_1230
7_802,7_1611,7_1532,7_740,7_1825,7_1702
7_538,7_640,7_2030,7_607,7_967,7_937
7_2417,7_762,7_2385,7_461,7_1315,7_1214
7_41,7_635,7_2367,7_142,7_1616,7_1715
7_2392,7_1184,7_1940,7_1644,7_966,7_1060
7_529,7_155,7_2271,7_704,7_1586,7_416
7_732,7_1026,7_1531,7_23,7_1003,7_1258
7_557,7_312,7_1951,7_864,7_1340,7_663
7_212,7_328,7_1842,7_116,7_1104,7_1820
7_1180,7_849,7_1908,7_122,7_2266,7_1295
7_724,7_802,7_2323,7_766,7_2168,7_2190
7_908,7_361,7_2272,7_1018,7_1322,7_696
7_795,7_32,7_1564,7_1257,7_2516,7_2305
7_779,7_734,7_2179,7_303,7_1835,7_836
7_1644,7_1027,7_1930,7_267,7_1061,7_1787
7_318,7_710,7_2308,7_2421,7_2215,7_698
7_355,7_894,7_2354,7_1046,7_2015,7_1665
7_2400,7_431,7_1905,7_1688,7_1604,7_2326
7_864,7_1697,7_2216,7_390,7_1962,7_1294
7_116,7_42,7_2318,7_2503,7_2366,7_723
7_305,7_452,7_2075,7_305,7_1999,7_347
7_740,7_172,7_2194,7_594,7_2202,7_2548
7_607,7_443,7_2204,7_1504,7_2276,7_1387
7_383,7_918,7_1964,7_1173,7_1779,7_1547
7_66,7_779,7_1786,7_526,7_2359,7_1750
