Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,1307,1210,8,26,0.7647058823529411,0.515484123872991,0.484515876127009,0.3221207592466223,0.0011040709395267775,0.00529675503788545,0.03135945198231703,0.0032048196540040517,0.005815333770616264
MiniBatchKMeans,1118,1399,5,29,0.8529411764705882,0.44021952175617407,0.5597804782438259,0.31856434762543856,-0.003460642735619513,0.006533518692036507,0.03771764064464842,0.0038921663007279545,0.007056188943764383
GMM,695,1822,2,32,0.9411764705882353,0.2732261858094865,0.7267738141905136,0.1258229173819667,-0.012393195135206807,0.005661620269261273,0.029095186165975468,0.003512016599432985,0.006267497246767822
Hierarchical (ward),1689,828,14,20,0.5882352941176471,0.6675813406507252,0.3324186593492748,0.2915119705333337,0.010146007852752397,0.0046716109723257395,0.026124364328356773,0.002908249999655003,0.0052338505716742175
Spectral,244,2273,1,33,0.9705882352941176,0.09604076832614661,0.9039592316738534,0.2759615455246812,-0.01462608420520804,0.0012854840168265377,0.0065080608379944425,0.001456527052950492,0.002380328223526435
Birch,724,1793,16,18,0.5294117647058824,0.29008232065856526,0.7099176793414347,0.29098360660330985,0.009532552447305703,0.0023153483703470075,0.013825469022158166,0.0016251027289310013,0.0029083464092617053
