Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,3,9,6,11,0.6470588235294118,0.3103448275862069,0.6896551724137931,0.38756811968347427,-0.03390570430733411,-0.019792773017133555,0.008982508833078474,0.009835736324289015,0.00938977972429776
MiniBatchKMeans,3,9,6,11,0.6470588235294118,0.3103448275862069,0.6896551724137931,0.38756811968347427,-0.03390570430733411,-0.019792773017133555,0.008982508833078474,0.009835736324289015,0.00938977972429776
GMM,4,8,5,12,0.7058823529411765,0.3103448275862069,0.6896551724137931,0.25370770364472467,-0.02405898331393093,-0.02808118058883297,0.0012804962831703735,0.0014021276282095794,0.0013385545464174192
Hierarchical (ward),3,9,6,11,0.6470588235294118,0.3103448275862069,0.6896551724137931,0.38756811968347427,-0.03390570430733411,-0.019792773017133555,0.008982508833078474,0.009835736324289015,0.00938977972429776
Spectral,3,9,6,11,0.6470588235294118,0.3103448275862069,0.6896551724137931,0.38756811968347427,-0.03390570430733411,-0.019792773017133555,0.008982508833078474,0.009835736324289015,0.00938977972429776
Birch,3,9,6,11,0.6470588235294118,0.3103448275862069,0.6896551724137931,0.38756811968347427,-0.03390570430733411,-0.019792773017133555,0.008982508833078474,0.009835736324289015,0.00938977972429776
