Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,59724,50762,11,159,0.9352941176470588,0.5398261278195489,0.46017387218045114,0.3312635973438218,0.00047515713446932704,0.0022946195165285425,0.07044973846597903,0.0011729654392726935,0.0023075115548753878
MiniBatchKMeans,58863,51623,11,159,0.9352941176470588,0.5320452573742047,0.4679547426257953,0.3306233613296251,0.00037671989147532034,0.002226378909792156,0.06847490303724148,0.0011382367597511346,0.002239251152431139
GMM,29406,81080,15,155,0.9117647058823529,0.26587803643724695,0.734121963562753,0.10005864208261186,-0.0013016647604127563,0.0005068848057223044,0.01342456391730276,0.0002663003906194007,0.0005222411872133154
Spectral,11,110475,0,170,1.0,9.940717177559283e-05,0.9999005928282244,-0.04601026154986226,-0.00018646396096683854,-7.671449509803884e-05,1.330485228229654e-05,0.00015050066837054521,2.444837210707605e-05
Birch,74642,35844,45,125,0.7352941176470589,0.6749475853094274,0.3250524146905726,0.312864949748213,0.002009577740154444,0.0016752069549665417,0.04721163552070903,0.000860040290535105,0.0016893069794072246
