IDs,S,E,labels
6_52,1.0863,1.38295,0
6_53,1.0927,1.5016,0
6_54,1.1468,1.75062,0
6_55,1.0489,0.866648,0
6_56,1.0176,2.69466,0
6_57,1.0176,2.69466,1
6_58,1.1203,1.77282,0
6_59,1.1203,1.77282,0
6_60,1.1546,1.89046,0
6_61,1.2231,2.76313,0
6_62,1.2231,2.76313,0
6_63,1.2231,2.76313,0
6_64,0.96889,1.28982,0
6_65,1.0325,2.99825,0
6_66,1.0302,3.32889,0
6_67,1.0627,1.00063,0
6_68,1.1404,1.88001,0
6_69,1.1404,1.88001,0
6_70,0.96501,1.75816,0
6_71,0.99955,1.8964,0
6_72,1.1534,1.98302,0
6_73,1.1534,1.98302,0
6_74,1.0773,1.15872,0
6_75,1.2049,2.73108,0
6_76,1.2049,2.73108,0
6_77,1.215,2.92185,0
6_78,1.215,2.92185,0
6_79,1.0097,2.82029,0
6_80,1.0187,3.02572,0
6_81,1.0022,3.01605,0
6_82,0.99249,2.8085,0
6_83,1.0102,3.29335,0
6_84,1.0846,1.29735,0
6_85,1.0136,3.586,0
6_86,1.0172,3.65089,0
6_87,1.0683,1.78472,0
6_88,1.1296,1.8882,0
6_89,1.1382,2.04321,0
6_90,1.0068,1.04786,0
6_91,1.0182,4.69435,1
6_92,1.0182,4.69435,0
6_93,1.0182,4.69435,0
6_94,1.0734,2.67324,0
6_95,1.0182,4.69435,0
6_96,1.0182,4.69435,0
6_97,1.0734,2.67324,0
6_98,1.0122,0.257865,0
6_99,1.0865,1.84105,0
6_100,1.1842,2.63769,0
6_101,1.0948,3.01686,1
6_102,1.1947,2.83325,0
6_103,1.0928,3.4418,0
6_104,1.2055,3.03875,0
6_105,1.0194,1.07796,0
6_106,1.0933,2.7976,0
6_107,1.0933,2.7976,0
6_108,1.0046,1.48333,0
6_109,1.0512,1.62804,1
6_110,1.1173,3.16689,0
6_111,1.1155,3.63242,0
6_112,1.0434,1.01109,0
6_113,1.0434,1.01109,0
6_114,1.0179,1.5074,0
6_115,1.0692,1.66042,0
6_116,1.0702,2.68057,0
6_117,1.0829,2.93054,0
6_118,1.0613,2.91399,0
6_119,1.0471,2.51066,0
6_120,1.0732,3.25283,0
6_121,1.0792,3.61697,0
6_122,1.0663,0.198756,0
6_123,1.0842,3.69907,0
6_124,1.0921,2.77888,0
6_125,1.1063,3.05223,0
6_126,1.0827,3.02846,0
6_127,1.0663,2.5333,0
6_128,1.0904,5.03377,0
6_129,1.0904,5.03377,0
6_130,1.0904,5.03377,0
6_131,1.0904,5.03377,0
6_132,1.0963,3.39888,0
6_133,1.0904,5.03377,0
6_134,1.1034,3.79819,0
6_135,1.109,3.88944,0
6_136,0.97551,0.960326,0
6_137,1.1176,5.36452,0
6_138,1.1176,5.36452,0
6_139,1.1176,5.36452,0
6_140,1.1176,5.36452,0
6_141,1.1176,5.36452,0
6_142,1.1184,0.865636,0
6_143,1.1184,0.865636,0
6_144,1.1184,0.865636,0
6_145,1.1184,0.865636,0
6_146,0.97549,0.246739,0
6_147,0.97549,1.81725,0
6_148,0.97549,1.81725,0
