IDs,S,E,labels
9_18974,1.0141,21.3031,0
9_18975,1.0141,21.3031,0
9_18976,1.0141,21.3031,0
9_18977,1.0141,21.3031,0
9_18978,1.0141,21.3031,0
9_18979,1.0303,11.9745,0
9_18980,0.97194,0.73191,0
9_18981,0.9738,22.082,0
9_18982,0.87457,18.7978,0
9_18983,0.97436,22.1386,0
9_18984,0.98293,4.68972,0
9_18985,0.84659,15.9165,0
9_18986,0.9713,12.8323,0
9_18987,0.86982,17.9485,0
9_18988,0.86982,17.9485,0
9_18989,0.8712,18.1296,0
9_18990,1.1803,5.36171,0
9_18991,1.1803,5.36171,0
9_18992,0.97315,13.0843,0
9_18993,0.97925,10.5027,0
9_18994,0.87237,18.2588,0
9_18995,0.97569,11.8793,0
9_18996,1.0075,1.51008,0
9_18997,0.97386,22.3454,0
9_18998,0.97386,22.3454,0
9_18999,0.97386,22.3454,0
9_19000,0.97386,22.3454,0
9_19001,0.97386,22.3454,0
9_19002,0.87022,17.2552,0
9_19003,0.97785,6.40311,0
9_19004,0.86411,17.6874,0
9_19005,0.96935,6.99117,0
9_19006,0.87237,17.7094,0
9_19007,0.94456,10.7854,0
9_19008,0.87315,18.974,0
9_19009,0.97227,10.4683,0
9_19010,0.95813,9.63007,0
9_19011,0.98628,12.6315,0
9_19012,0.97414,13.2701,0
9_19013,0.9872,7.72993,0
9_19014,0.87254,18.3918,0
9_19015,0.96934,7.96728,0
9_19016,0.87054,16.369,0
9_19017,0.87232,19.0647,0
9_19018,0.87132,16.4983,0
9_19019,0.85035,16.3585,0
9_19020,0.86799,17.8404,0
9_19021,1.0651,4.44041,0
9_19022,1.0651,4.44041,0
9_19023,1.0651,4.44041,0
9_19024,1.0651,4.44041,0
9_19025,0.86901,17.961,0
9_19026,1.0039,14.8162,0
9_19027,0.86725,17.6408,0
9_19028,0.87208,18.4684,0
9_19029,0.8703,16.6744,0
9_19030,1.0125,10.9738,0
9_19031,0.87065,16.7103,0
9_19032,0.86839,17.738,0
9_19033,0.8687,18.0972,0
9_19034,0.98037,12.1679,0
9_19035,0.86909,18.1326,0
9_19036,1.0265,12.0088,0
9_19037,0.87355,17.6576,0
9_19038,0.87081,17.8943,0
9_19039,0.86746,17.7959,0
9_19040,0.86806,17.8429,0
9_19041,1.0163,9.30092,0
9_19042,0.86716,17.4465,0
9_19043,0.97187,13.3193,0
9_19044,0.97151,13.3094,0
9_19045,0.86704,17.6108,0
9_19046,0.86796,17.5936,0
9_19047,0.86775,17.6868,0
9_19048,0.98042,13.4106,0
9_19049,1.0264,13.1446,0
9_19050,1.0048,1.61938,0
9_19051,0.98575,8.25568,0
9_19052,0.88101,19.1095,0
9_19053,0.88101,19.1095,0
9_19054,1.0559,1.16814,0
9_19055,0.9877,13.6541,0
9_19056,1.1392,3.74556,0
9_19057,1.1392,3.74556,0
9_19058,0.94427,8.27966,0
9_19059,1.0301,13.2809,0
9_19060,0.86967,18.0784,0
9_19061,1.181,5.64443,0
9_19062,1.181,5.64443,0
9_19063,0.99517,13.2255,0
9_19064,0.99517,13.2255,0
9_19065,1.032,13.4243,0
9_19066,0.94047,9.43229,0
9_19067,1.1507,4.69613,0
9_19068,1.1507,4.69613,0
9_19069,1.1507,4.69613,0
9_19070,1.1507,4.69613,0
9_19071,1.0268,11.974,0
9_19072,0.88008,19.2489,0
9_19073,0.88008,19.2489,0
9_19074,0.87402,18.5357,0
9_19075,0.87402,18.5357,0
9_19076,1.0988,3.92627,0
9_19077,1.0988,3.92627,0
9_19078,0.97327,7.29282,0
9_19079,0.97327,7.29282,0
9_19080,0.97737,11.8182,0
9_19081,0.91183,8.68777,0
9_19082,0.93853,9.31187,0
9_19083,0.90651,6.06581,0
9_19084,0.87334,18.8809,0
9_19085,0.87294,18.8832,0
9_19086,0.95636,14.7935,0
9_19087,0.95636,14.7935,0
9_19088,0.95636,14.7935,0
9_19089,0.95636,14.7935,0
9_19090,0.83541,14.0512,0
9_19091,0.97975,5.31557,0
9_19092,0.87457,18.3733,0
9_19093,1.0136,15.825,0
9_19094,1.0136,15.825,0
9_19095,0.99032,14.0009,0
9_19096,0.99032,14.0009,0
9_19097,0.87401,17.5672,0
9_19098,0.87401,17.5672,0
9_19099,0.86168,18.0341,0
9_19100,0.99278,13.2389,0
9_19101,0.99707,9.418,0
9_19102,0.87531,18.3125,0
9_19103,0.87531,18.3125,0
9_19104,0.99458,13.34,0
9_19105,0.97492,10.2121,0
9_19106,0.87252,18.8036,0
9_19107,1.1893,5.88219,0
9_19108,1.1893,5.88219,0
9_19109,1.0999,4.06122,0
9_19110,1.0999,4.06122,0
9_19111,1.0999,4.06122,0
9_19112,0.99435,2.80983,0
9_19113,1.0352,12.7787,0
9_19114,1.1074,2.95037,0
9_19115,0.86926,18.317,0
9_19116,0.99062,12.4492,0
9_19117,0.99062,12.4492,0
9_19118,0.97572,1.39727,0
9_19119,1.1451,8.99536,0
9_19120,1.1451,8.99536,0
9_19121,0.87952,19.4576,0
9_19122,1.037,12.972,0
9_19123,0.87351,18.6127,0
9_19124,0.99347,14.1191,0
9_19125,0.87873,19.4012,0
9_19126,0.99351,14.1649,0
9_19127,0.87893,19.5368,0
9_19128,0.94586,8.76914,0
9_19129,0.94586,8.76914,0
9_19130,0.87904,18.635,0
9_19131,0.87904,18.635,0
9_19132,0.87222,17.2401,0
9_19133,0.87155,19.0356,0
9_19134,0.98585,5.98854,0
9_19135,0.98585,5.98854,0
9_19136,1.0284,13.368,0
9_19137,0.87922,18.4968,0
9_19138,0.87922,18.4968,0
9_19139,1.0169,9.50194,0
9_19140,0.88006,19.6928,0
9_19141,0.90616,8.80628,0
9_19142,0.97344,11.4357,0
9_19143,0.97344,11.4357,0
9_19144,1.1447,9.20784,0
9_19145,1.1447,9.20784,0
9_19146,0.98564,14.0363,0
9_19147,0.868,17.8025,0
9_19148,1.1937,6.07351,0
9_19149,1.1937,6.07351,0
9_19150,0.97842,11.2034,0
9_19151,0.84056,16.1912,0
9_19152,0.85956,18.2883,0
9_19153,0.87509,16.1271,0
9_19154,0.94516,7.95048,0
9_19155,0.99197,8.75744,0
9_19156,1.1064,3.2269,0
9_19157,0.98154,13.7556,0
9_19158,0.87115,19.1845,0
9_19159,1.0345,13.7815,0
9_19160,1.0345,13.7815,0
9_19161,0.87499,19.2593,0
9_19162,0.85867,18.3851,0
9_19163,0.87092,19.2162,0
9_19164,0.87682,18.7958,0
9_19165,1.1349,7.87918,0
9_19166,1.1349,7.87918,0
9_19167,0.87811,18.9036,0
9_19168,0.86736,18.1193,0
9_19169,1.1067,2.14493,0
9_19170,0.87644,19.4737,0
9_19171,0.97947,13.6266,0
9_19172,0.84133,16.0025,0
9_19173,0.87892,19.6801,0
9_19174,0.87098,17.4151,0
9_19175,0.90161,6.40761,0
9_19176,0.96108,7.86647,0
9_19177,0.84363,16.4486,0
9_19178,0.9886,8.8258,0
9_19179,0.94076,9.81123,0
9_19180,1.126,1.69613,0
9_19181,1.126,1.69613,0
9_19182,1.126,1.69613,0
9_19183,1.126,1.69613,0
9_19184,0.8328,15.122,0
9_19185,0.83509,15.5368,0
9_19186,1.0081,1.21565,0
9_19187,0.86669,18.5246,0
9_19188,0.8735,16.2504,0
9_19189,0.8416,16.6202,0
9_19190,1.0024,16.3336,0
9_19191,0.87475,19.6067,0
9_19192,0.84065,16.517,0
9_19193,0.87522,19.6488,0
9_19194,0.86813,18.3903,0
9_19195,0.83659,15.4162,0
9_19196,0.83463,15.6131,0
9_19197,0.97671,16.7901,0
9_19198,0.90484,8.06214,0
9_19199,0.86783,18.4647,0
9_19200,1.1073,3.3577,0
9_19201,0.8777,19.8738,0
9_19202,0.88181,17.2052,0
9_19203,0.87621,19.1619,1
9_19204,0.90809,9.19807,0
9_19205,0.87299,19.5428,0
9_19206,0.87819,19.3118,0
9_19207,0.87836,19.3243,0
9_19208,0.85732,18.5793,0
9_19209,1.1068,3.44875,0
9_19210,0.86985,18.4538,0
9_19211,0.86502,18.2107,0
9_19212,0.8732,19.6488,0
9_19213,1.0018,8.56065,0
9_19214,0.98831,13.6153,0
9_19215,0.98831,13.6153,0
9_19216,0.98322,12.4992,0
9_19217,0.98133,12.0285,0
9_19218,0.87495,19.9044,0
9_19219,0.9759,16.9009,0
9_19220,0.87523,19.9417,0
9_19221,0.8769,20.018,0
9_19222,0.87676,20.0333,0
9_19223,1.1073,2.30112,0
9_19224,0.87227,18.3822,0
9_19225,0.98921,7.31571,0
9_19226,1.0202,7.7482,0
9_19227,0.8305,14.8253,0
9_19228,0.97028,6.4274,0
9_19229,0.87763,20.0676,0
9_19230,1.0045,16.4835,0
9_19231,0.878,20.1339,0
9_19232,0.87256,18.7718,0
9_19233,0.9289,6.26663,0
9_19234,0.99165,7.40785,0
9_19235,0.88057,20.3482,0
9_19236,0.88057,20.3482,0
9_19237,0.88057,20.3482,0
9_19238,0.88057,20.3482,0
9_19239,0.93758,9.66747,0
9_19240,0.99891,10.6557,0
9_19241,0.86821,18.5935,0
9_19242,0.88031,17.3604,0
9_19243,0.95541,3.76545,0
9_19244,1.1545,9.08093,0
9_19245,0.95541,3.76545,0
9_19246,1.1545,9.08093,0
9_19247,1.1545,9.08093,0
9_19248,1.1545,9.08093,0
9_19249,1.1545,9.08093,0
9_19250,1.1545,9.08093,0
9_19251,1.1545,9.08093,0
9_19252,1.1545,9.08093,0
9_19253,1.1545,9.08093,0
9_19254,1.1545,9.08093,0
9_19255,1.1545,9.08093,0
9_19256,1.1545,9.08093,0
9_19257,1.1545,9.08093,0
9_19258,1.1545,9.08093,0
9_19259,1.1545,9.08093,0
9_19260,1.1545,9.08093,0
9_19261,1.0054,17.3611,0
9_19262,0.92345,6.88289,0
9_19263,1.0096,17.2446,0
9_19264,0.97781,12.5103,0
9_19265,0.90259,9.06163,0
9_19266,0.93629,9.2688,0
9_19267,0.94341,10.2332,0
9_19268,0.91446,6.12575,0
9_19269,1.1133,2.98048,0
9_19270,0.87175,18.7856,0
9_19271,0.87345,19.8999,0
9_19272,0.93601,9.45753,0
9_19273,1.0052,9.99796,0
9_19274,0.95358,3.9029,0
9_19275,0.95358,3.9029,0
9_19276,0.87351,20.0528,0
9_19277,0.90671,8.55001,0
9_19278,0.84628,17.4952,0
9_19279,1.0643,4.63319,0
9_19280,1.0643,4.63319,0
9_19281,1.0643,4.63319,0
9_19282,1.0643,4.63319,0
9_19283,0.87457,20.202,0
9_19284,0.87397,20.1888,0
9_19285,0.87609,20.2112,0
9_19286,0.98849,8.12612,0
9_19287,0.98849,8.12612,0
9_19288,0.98849,8.12612,0
9_19289,0.98849,8.12612,0
9_19290,0.9737,4.78653,0
9_19291,1.0274,8.29131,0
9_19292,0.98386,9.00062,0
9_19293,0.95305,3.92865,0
9_19294,0.95305,3.92865,0
9_19295,0.8778,20.3916,0
9_19296,0.97119,2.22349,0
9_19297,0.97119,2.22349,0
9_19298,0.87684,20.3978,0
9_19299,0.87753,20.459,0
9_19300,0.96506,6.36034,0
9_19301,0.86387,19.1288,0
9_19302,0.9754,9.23511,0
9_19303,0.84348,17.4105,0
9_19304,0.97556,9.31702,0
9_19305,0.98524,14.4114,0
9_19306,0.97558,9.32756,0
9_19307,0.86672,17.3842,0
9_19308,0.96861,7.98391,0
9_19309,1.0096,8.92186,0
9_19310,1.1127,3.27341,0
9_19311,1.1463,8.31864,0
9_19312,1.1463,8.31864,0
9_19313,1.0034,1.24025,0
9_19314,1.172,5.85403,0
9_19315,1.172,5.85403,0
9_19316,1.172,5.85403,0
9_19317,1.172,5.85403,0
9_19318,0.98426,10.9377,0
9_19319,0.98426,10.9377,0
9_19320,0.98922,14.6438,0
9_19321,0.97316,0.865245,0
9_19322,1.1126,3.34389,0
9_19323,0.83742,16.4027,0
9_19324,0.86458,19.2323,0
9_19325,1.1251,1.81832,0
9_19326,1.1251,1.81832,0
9_19327,1.1251,1.81832,0
9_19328,1.1251,1.81832,0
9_19329,1.1251,1.81832,0
9_19330,1.1251,1.81832,0
9_19331,1.1251,1.81832,0
9_19332,1.1251,1.81832,0
9_19333,1.1251,1.81832,0
9_19334,1.1251,1.81832,0
9_19335,1.1251,1.81832,0
9_19336,1.1251,1.81832,0
9_19337,0.93319,4.76494,0
9_19338,0.98861,14.5479,0
9_19339,0.93035,4.60022,0
9_19340,0.98287,14.6542,0
9_19341,0.83802,16.9549,0
9_19342,0.86633,17.5549,0
9_19343,0.8748,18.9287,0
9_19344,0.9007,8.1101,0
9_19345,0.87647,19.0707,0
9_19346,0.98647,9.28608,0
9_19347,1.1226,7.98015,0
9_19348,1.1226,7.98015,0
9_19349,0.96623,9.24202,0
9_19350,0.87334,19.6461,0
9_19351,0.87334,19.6461,0
9_19352,0.95865,4.56208,0
9_19353,1.1421,8.0384,0
9_19354,1.1421,8.0384,0
9_19355,0.86066,18.4969,0
9_19356,0.83905,14.9504,0
9_19357,0.94739,9.62309,0
9_19358,0.98283,14.3718,0
9_19359,0.98948,14.8499,0
9_19360,0.86255,19.3973,0
9_19361,0.99137,8.751,0
9_19362,0.94726,9.57691,0
9_19363,0.94724,9.5724,0
9_19364,0.87039,17.9268,0
9_19365,0.99043,13.3113,0
9_19366,0.99043,13.3113,0
9_19367,0.83775,17.3079,0
9_19368,0.98924,9.99997,0
9_19369,0.83723,17.3137,0
9_19370,0.86634,16.2981,0
9_19371,1.1087,2.6319,0
9_19372,1.0194,1.95609,0
9_19373,1.0194,1.95609,0
9_19374,0.86647,16.1622,0
9_19375,0.93178,4.88844,0
9_19376,0.85924,18.6713,0
9_19377,1.1136,2.20368,0
9_19378,0.87591,19.9016,0
9_19379,0.87568,19.9399,0
9_19380,0.93965,10.1479,0
9_19381,0.87549,19.6091,0
9_19382,0.87758,19.7405,0
9_19383,0.87773,19.7497,0
9_19384,1.0348,8.6451,0
9_19385,1.0348,8.6451,0
9_19386,0.86982,18.1073,0
9_19387,1.1542,10.1244,0
9_19388,1.1542,10.1244,0
9_19389,1.1542,10.1244,0
9_19390,1.1542,10.1244,0
9_19391,1.1542,10.1244,0
9_19392,1.1542,10.1244,0
9_19393,1.1542,10.1244,0
9_19394,1.1542,10.1244,0
9_19395,1.1542,10.1244,0
9_19396,1.1542,10.1244,0
9_19397,1.0464,1.54623,0
9_19398,1.0464,1.54623,0
9_19399,0.98662,14.585,0
9_19400,1.0803,6.4562,0
9_19401,1.0803,6.4562,0
9_19402,0.9802,14.6756,0
9_19403,0.86864,18.2743,0
9_19404,0.98153,14.8517,0
9_19405,0.82811,15.5598,0
9_19406,0.96353,3.44092,0
9_19407,0.99648,10.0866,0
9_19408,1.1499,8.39994,0
9_19409,1.1499,8.39994,0
9_19410,0.96092,10.2711,0
9_19411,0.86727,18.4425,0
9_19412,1.0073,6.15253,0
9_19413,1.0073,6.15253,0
9_19414,0.85883,19.1256,0
9_19415,0.98723,14.9974,0
9_19416,0.8716,19.4353,0
9_19417,1.031,3.60565,0
9_19418,0.9604,10.3827,0
9_19419,0.82769,16.0028,0
9_19420,0.87093,19.4397,0
9_19421,0.85812,18.8238,0
9_19422,0.87031,19.3922,0
9_19423,0.87007,19.3992,0
9_19424,0.9697,5.70005,0
9_19425,0.86527,19.5278,0
9_19426,0.87176,18.4715,0
9_19427,0.82779,16.3587,0
9_19428,0.82779,16.3587,0
9_19429,1.1093,2.7921,0
9_19430,0.9839,14.1363,0
9_19431,0.87599,19.9431,0
9_19432,0.87057,18.6473,0
9_19433,1.1468,8.7407,0
9_19434,1.1468,8.7407,0
9_19435,0.87862,20.1746,0
9_19436,1.0005,12.6063,0
9_19437,0.86467,19.4556,0
9_19438,0.82912,14.2067,0
9_19439,0.85684,18.9757,0
9_19440,1.1485,8.81301,0
9_19441,1.1485,8.81301,0
9_19442,0.9956,9.55708,0
9_19443,0.84945,18.5891,0
9_19444,0.86772,19.8129,0
9_19445,0.87817,20.2754,0
9_19446,0.87739,20.2728,0
9_19447,0.98639,13.2846,0
9_19448,0.87287,20.1947,0
9_19449,0.87335,20.283,0
9_19450,0.87726,20.2135,0
9_19451,0.97745,8.16255,0
9_19452,0.98889,15.1475,0
9_19453,0.87698,20.2536,0
9_19454,0.87479,20.3802,0
9_19455,0.87487,20.4111,0
9_19456,1.1218,8.33008,0
9_19457,1.1218,8.33008,0
9_19458,0.98919,13.4389,0
9_19459,1.1047,3.45035,0
9_19460,0.95798,9.17114,0
9_19461,1.1047,3.45035,0
9_19462,1.1047,3.45035,0
9_19463,1.1047,3.45035,0
9_19464,0.95798,9.17114,0
9_19465,1.0024,11.5464,0
9_19466,0.98153,1.53836,0
9_19467,0.98701,15.1092,0
9_19468,1.0425,1.79177,0
9_19469,0.89941,8.92622,0
9_19470,0.95709,4.89385,0
9_19471,0.87935,20.5047,0
9_19472,1.1299,8.66735,0
9_19473,1.1299,8.66735,0
9_19474,0.86461,19.5764,0
9_19475,0.87989,20.5503,0
9_19476,0.87864,20.5089,0
9_19477,0.87944,20.5879,0
9_19478,0.98322,1.60774,0
9_19479,0.97648,15.7857,0
9_19480,0.99093,15.3978,0
9_19481,0.99093,15.3978,0
9_19482,0.97659,9.51527,0
9_19483,0.98531,12.5279,0
9_19484,0.8632,19.694,0
9_19485,1.0101,10.6295,0
9_19486,0.83502,16.5626,0
9_19487,1.1543,9.39176,0
9_19488,1.1543,9.39176,0
9_19489,0.90513,8.48869,0
9_19490,0.98294,14.238,0
9_19491,1.0157,10.8529,0
9_19492,1.0163,10.8755,0
9_19493,0.86737,19.9757,0
9_19494,0.86352,18.7464,0
9_19495,0.99339,13.0774,0
9_19496,0.98542,12.7202,0
9_19497,0.99459,13.1615,0
9_19498,1.13,8.80604,0
9_19499,1.13,8.80604,0
9_19500,0.99312,9.86801,0
9_19501,0.86594,20.0396,0
9_19502,0.98877,15.4166,0
9_19503,1.1595,9.64726,0
9_19504,1.1595,9.64726,0
9_19505,0.99414,13.2835,0
9_19506,0.98142,6.16722,0
9_19507,0.98829,15.452,0
9_19508,0.95821,10.2131,0
9_19509,0.98202,18.2491,0
9_19510,0.99721,13.5086,0
9_19511,0.99721,13.5086,0
9_19512,1.0601,1.21689,0
9_19513,1.0601,1.21689,0
9_19514,1.0601,1.21689,0
9_19515,0.86495,20.0622,0
9_19516,0.86485,19.27,0
9_19517,1.0143,7.93556,0
9_19518,0.99626,13.5182,0
9_19519,0.86602,20.1828,0
9_19520,0.99693,13.5577,0
9_19521,0.86195,17.3526,0
9_19522,0.95676,10.586,0
9_19523,1.045,1.70653,0
9_19524,1.045,1.70653,0
9_19525,1.1159,4.02733,0
9_19526,1.1159,4.02733,0
9_19527,1.1159,4.02733,0
9_19528,1.1159,4.02733,0
9_19529,1.1159,4.02733,0
9_19530,0.95659,10.6317,0
9_19531,1.0019,9.38556,0
9_19532,1.0868,6.07492,0
9_19533,1.0868,6.07492,0
9_19534,0.86844,20.3373,0
9_19535,0.99464,10.5331,0
9_19536,0.86696,20.2548,0
9_19537,0.97836,6.25046,0
9_19538,1.1262,8.801,0
9_19539,1.1262,8.801,0
9_19540,0.98018,18.3811,0
9_19541,1.1286,8.90057,0
9_19542,1.1286,8.90057,0
9_19543,1.1153,2.59004,0
9_19544,0.98647,9.0362,0
9_19545,0.99184,10.1186,0
9_19546,0.98407,15.2749,0
9_19547,0.99657,2.20211,0
9_19548,0.99657,2.20211,0
9_19549,0.86532,19.623,0
9_19550,0.98423,15.4268,0
9_19551,0.98407,7.83676,0
9_19552,0.98538,11.1973,0
9_19553,0.92697,7.41078,0
9_19554,1.1449,8.91848,0
9_19555,1.1449,8.91848,0
9_19556,1.1449,8.91848,0
9_19557,1.1449,8.91848,0
9_19558,1.1449,8.91848,0
9_19559,1.1449,8.91848,0
9_19560,1.1449,8.91848,0
9_19561,1.1449,8.91848,0
9_19562,1.1449,8.91848,0
9_19563,1.1449,8.91848,0
9_19564,1.1449,8.91848,0
9_19565,0.98633,7.92408,0
9_19566,0.82475,15.5613,0
9_19567,1.1996,6.86662,0
9_19568,1.1996,6.86662,0
9_19569,1.1996,6.86662,0
9_19570,1.1996,6.86662,0
9_19571,1.1996,6.86662,0
9_19572,1.1996,6.86662,0
9_19573,1.1996,6.86662,0
9_19574,1.1996,6.86662,0
9_19575,1.1996,6.86662,0
9_19576,1.1996,6.86662,0
9_19577,1.1996,6.86662,0
9_19578,1.1996,6.86662,0
9_19579,1.1541,9.51967,0
9_19580,1.1541,9.51967,0
9_19581,0.99618,9.30827,0
9_19582,1.0032,10.1217,0
9_19583,0.99154,3.6744,0
9_19584,0.96821,11.7488,0
9_19585,0.86241,18.9303,0
9_19586,1.1157,2.69835,0
9_19587,0.86096,19.1526,0
9_19588,0.9979,11.6374,0
9_19589,1.0454,1.5748,0
9_19590,1.0454,1.5748,0
9_19591,0.97014,11.8638,0
9_19592,0.84035,18.7668,0
9_19593,0.84035,18.7668,0
9_19594,0.84035,18.7668,0
9_19595,0.84035,18.7668,0
9_19596,1.0956,7.48553,0
9_19597,1.0956,7.48553,0
9_19598,0.97139,10.9521,0
9_19599,0.9908,11.8658,0
9_19600,1.0067,10.6847,0
9_19601,0.86745,17.0032,0
9_19602,1.0079,4.19,0
9_19603,0.87056,14.2255,0
9_19604,0.9212,7.05924,0
9_19605,0.99187,18.9428,0
9_19606,0.86762,16.8231,0
9_19607,1.1591,10.1596,0
9_19608,1.1591,10.1596,0
9_19609,0.97085,11.1189,0
9_19610,1.1292,5.24573,0
9_19611,1.1292,5.24573,0
9_19612,1.1097,3.88333,0
9_19613,1.1292,5.24573,0
9_19614,1.1097,3.88333,0
9_19615,1.1097,3.88333,0
9_19616,1.1292,5.24573,0
9_19617,1.1292,5.24573,0
9_19618,1.1097,3.88333,0
9_19619,1.1097,3.88333,0
9_19620,1.1097,3.88333,0
9_19621,1.1097,3.88333,0
9_19622,1.1097,3.88333,0
9_19623,1.1097,3.88333,0
9_19624,1.1097,3.88333,0
9_19625,1.1097,3.88333,0
9_19626,1.1097,3.88333,0
9_19627,1.1097,3.88333,0
9_19628,1.1292,5.24573,0
9_19629,1.1292,5.24573,0
9_19630,1.1292,5.24573,0
9_19631,1.1292,5.24573,0
9_19632,1.1097,3.88333,0
9_19633,1.1097,3.88333,0
9_19634,1.1097,3.88333,0
9_19635,1.1292,5.24573,0
9_19636,1.1292,5.24573,0
9_19637,1.1292,5.24573,0
9_19638,1.1292,5.24573,0
9_19639,1.1292,5.24573,0
9_19640,1.1292,5.24573,0
9_19641,1.1292,5.24573,0
9_19642,1.1292,5.24573,0
9_19643,1.1292,5.24573,0
9_19644,1.1097,3.88333,0
9_19645,1.1097,3.88333,0
9_19646,1.1097,3.88333,0
9_19647,1.1097,3.88333,0
9_19648,1.1292,5.24573,0
9_19649,1.1292,5.24573,0
9_19650,1.1292,5.24573,0
9_19651,1.1292,5.24573,0
9_19652,1.1292,5.24573,0
9_19653,1.1292,5.24573,0
9_19654,1.1173,2.70326,0
9_19655,1.1173,2.70326,0
9_19656,0.86323,19.4059,0
9_19657,0.86154,16.5491,0
9_19658,0.86517,19.5172,0
9_19659,0.99433,9.63944,0
9_19660,0.86629,20.1724,0
9_19661,0.86406,20.0358,0
9_19662,0.86552,20.1803,0
9_19663,0.86472,20.1458,0
9_19664,1.1631,10.3649,0
9_19665,1.1631,10.3649,0
9_19666,0.92222,6.56697,0
9_19667,0.99083,19.0945,0
9_19668,0.98535,9.52853,0
9_19669,0.87667,12.7334,0
9_19670,0.85869,18.5886,0
9_19671,0.85036,19.8939,0
9_19672,0.85036,19.8939,0
9_19673,0.85036,19.8939,0
9_19674,0.94602,9.81226,0
9_19675,1.1578,10.0568,0
9_19676,1.1578,10.0568,0
9_19677,1.1578,10.0568,0
9_19678,1.1578,10.0568,0
9_19679,0.92894,3.49182,0
9_19680,0.86033,19.7484,0
9_19681,1.0922,3.913,0
9_19682,1.0922,3.913,0
9_19683,1.0198,1.09453,0
9_19684,1.0198,1.09453,0
9_19685,0.86054,19.4751,0
9_19686,1.0868,7.44775,0
9_19687,1.0868,7.44775,0
9_19688,1.0868,7.44775,0
9_19689,1.0868,7.44775,0
9_19690,0.85879,17.9903,0
9_19691,1.0108,2.34692,0
9_19692,1.0108,2.34692,0
9_19693,0.83659,17.4977,0
9_19694,0.83862,18.1886,0
9_19695,1.0464,4.50622,0
9_19696,1.0715,5.43966,0
9_19697,1.0715,5.43966,0
9_19698,0.85943,19.5174,0
9_19699,0.86958,18.7299,0
9_19700,0.92115,10.0309,0
9_19701,0.87272,20.6753,0
9_19702,1.0087,4.26116,0
9_19703,1.0087,4.26116,0
9_19704,1.0027,6.39931,0
9_19705,0.98786,19.0944,0
9_19706,0.86979,18.5243,0
9_19707,1.0299,3.77367,0
9_19708,0.95658,9.38565,0
9_19709,0.873,20.7577,0
9_19710,0.86707,19.9071,0
9_19711,0.8586,19.5973,0
9_19712,0.87038,20.7293,0
9_19713,1.1715,10.5575,0
9_19714,1.1715,10.5575,0
9_19715,1.1715,10.5575,0
9_19716,1.1715,10.5575,0
9_19717,0.95585,9.46587,0
9_19718,0.95924,8.25298,0
9_19719,1.0606,3.35149,0
9_19720,1.0606,3.35149,0
9_19721,1.0606,3.35149,0
9_19722,1.0606,3.35149,0
9_19723,1.0606,3.35149,0
9_19724,1.0606,3.35149,0
9_19725,1.0606,3.35149,0
9_19726,1.0606,3.35149,0
9_19727,1.0606,3.35149,0
9_19728,1.0606,3.35149,0
9_19729,1.0606,3.35149,0
9_19730,1.0606,3.35149,0
9_19731,1.0606,3.35149,0
9_19732,1.0606,3.35149,0
9_19733,1.0606,3.35149,0
9_19734,1.0606,3.35149,0
9_19735,1.0606,3.35149,0
9_19736,1.0606,3.35149,0
9_19737,1.0606,3.35149,0
9_19738,1.0606,3.35149,0
9_19739,1.0606,3.35149,0
9_19740,1.0606,3.35149,0
9_19741,0.87025,20.8114,0
9_19742,0.87547,18.4793,0
9_19743,0.85727,18.9352,0
9_19744,1.0177,12.4993,0
9_19745,0.92033,7.64659,0
9_19746,0.98225,9.70611,0
9_19747,0.86143,19.4446,0
9_19748,0.8677,20.6323,0
9_19749,0.8757,18.2746,0
9_19750,1.0449,2.23416,0
9_19751,0.85904,17.2392,0
9_19752,0.86168,20.3345,0
9_19753,1.0036,13.2157,0
9_19754,0.98507,19.1662,0
9_19755,0.91369,9.83406,0
9_19756,0.86923,20.8978,0
9_19757,0.864,20.258,0
9_19758,1.1598,10.3936,0
9_19759,1.1598,10.3936,0
9_19760,0.99798,12.228,0
9_19761,0.99798,12.228,0
9_19762,1.1603,10.4673,0
9_19763,1.1603,10.4673,0
9_19764,1.1603,10.4673,0
9_19765,1.1603,10.4673,0
9_19766,0.97179,18.1048,0
9_19767,0.97179,18.1048,0
9_19768,0.86127,20.3808,0
9_19769,1.02,8.96111,0
9_19770,1.0199,8.96364,0
9_19771,1.0765,1.85342,0
9_19772,1.0765,1.85342,0
9_19773,0.83045,17.9673,0
9_19774,1.0561,1.56878,0
9_19775,0.87275,20.3945,0
9_19776,0.86242,19.1893,0
9_19777,0.86044,16.5268,0
9_19778,1.0214,12.7905,0
9_19779,1.0214,12.7905,0
9_19780,0.8726,21.116,0
9_19781,0.86161,19.9109,0
9_19782,1.1719,10.8466,0
9_19783,1.1719,10.8466,0
9_19784,1.1719,10.8466,0
9_19785,1.1719,10.8466,0
9_19786,1.1719,10.8466,0
9_19787,1.1719,10.8466,0
9_19788,1.1719,10.8466,0
9_19789,1.1719,10.8466,0
9_19790,1.1719,10.8466,0
9_19791,0.87249,21.1714,0
9_19792,0.99674,19.61,0
9_19793,1.0787,3.30603,0
9_19794,1.0787,3.30603,0
9_19795,1.0787,3.30603,0
9_19796,1.0787,3.30603,0
9_19797,0.87248,20.3348,0
9_19798,0.8231,16.9976,0
9_19799,0.8231,16.9976,0
