IDs,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,S,E,labels
9_20569,0,0,0,0,0,0,0,0,0,10,0.82991351,4.4811943,2.5,1.32287566,1.75,5,18,0.22095456,5.06330753,2.25,1.5612495,2.4375,1,18,0.22095456,5.06330753,2.25,1.5612495,2.4375,1,0.44444444,0.86371,23.7743,1
9_20790,0,0,0,0,0,0,0,0,0,10,2,4,2.5,0.8660254,0.75,5,18,0.16727806,4.78441214,2.25,1.47901995,2.1875,1,18,0.16727806,4.78441214,2.25,1.47901995,2.1875,1,0.44444444,0.92338,8.92212,1
9_21508,0,0,0,0,0,0,0,0,0,8,2,4,2.66666667,0.94280904,0.88888889,6,18,0.22095456,5.06330753,2.25,1.5612495,2.4375,1,18,0.22095456,5.06330753,2.25,1.5612495,2.4375,1,0.33333333,0.99253,12.2806,1
9_35189,0,0,0,0,0,0,0,0,0,10,1.38196601,3.61803399,2.5,1.11803399,1.25,5,20,0.22853383,5.0711559,2.5,1.5,2.25,1,20,0.22853383,5.0711559,2.5,1.5,2.25,1,0.22222222,1.1232,2.31181,1
9_35458,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,7,18,0.14174414,4.42128064,2.25,1.47901995,2.1875,1,18,0.14174414,4.42128064,2.25,1.47901995,2.1875,1,0.22222222,1.0614,11.3872,1
9_38596,0,0,0,0,0,0,0,0,0,16,0.42211051,5.28349898,2.66666667,1.79505494,3.22222222,3,20,0.6017648,5.3982352,2.85714286,1.72614942,2.97959184,2,22,0.33455262,5.41053411,2.75,1.71391365,2.9375,1,0.22222222,1.1411,4.87501,1
9_38597,0,0,0,0,0,0,0,0,0,20,0.38196601,5.30277564,2.5,1.5,2.25,1,24,0.38196601,5.30277564,3,1.58113883,2.5,1,24,0.38196601,5.30277564,3,1.58113883,2.5,1,0.33333333,0.91744,4.9712,1
9_38598,0,0,0,0,0,0,0,0,0,14,0.2253771,4.22832822,2.33333333,1.37436854,1.88888889,3,18,0.17554025,4.55298378,2.25,1.5612495,2.4375,1,18,0.17554025,4.55298378,2.25,1.5612495,2.4375,1,0.66666667,1.0135,2.74504,1
9_38599,0,0,0,0,0,0,0,0,0,12,0.58578644,3.41421356,2.4,1.0198039,1.04,4,18,0.18913254,4.71938076,2.25,1.5612495,2.4375,1,18,0.18913254,4.71938076,2.25,1.5612495,2.4375,1,0.55555556,1.1375,3.89197,1
9_49214,0,0,0,0,0,0,0,0,0,16,0.20225667,5.09786679,2.28571429,1.57790872,2.48979592,2,22,0.26794919,5.30277564,2.75,1.5612495,2.4375,1,22,0.26794919,5.30277564,2.75,1.5612495,2.4375,1,0.33333333,0.95352,8.01472,1
9_86359,0,0,0,0,0,0,0,0,0,20,0.58578644,5.56155281,2.85714286,1.88441514,3.55102041,2,24,0.51923647,5.86800037,3,1.93649167,3.75,1,24,0.51923647,5.86800037,3,1.93649167,3.75,1,0.33333333,1.1488,2.73574,1
