Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,49881,42890,1,16,0.9411764705882353,0.5375910678104927,0.46240893218950724,0.35463395730146585,5.3153920559799115e-05,0.0002692029130893096,0.05609822072656622,0.00014300250618305452,0.00028527779785692225
MiniBatchKMeans,53182,39589,1,16,0.9411764705882353,0.5731667888088977,0.4268332111911023,0.3563883935622973,0.00011282558505443837,0.0003106470123162921,0.06355205793467472,0.00016388279958600696,0.0003269225582723382
GMM,24572,68199,1,16,0.9411764705882353,0.2648295038151485,0.7351704961848515,0.11730049455980915,-0.00018223208804722028,7.145021487359457e-05,0.014994065023462722,4.564565225881105e-05,9.101423461713581e-05
Spectral,1680,91091,0,17,1.0,0.01810578954175109,0.9818942104582489,-0.042786957501537805,-0.00035613496356007307,-2.7974354109109867e-05,0.0019025337376511358,3.696401250347344e-05,7.251906413524902e-05
Birch,34831,57940,1,16,0.9411764705882353,0.3753933698323059,0.6246066301676941,0.2853013676470533,-0.00012319127051807531,0.00013608855925422887,0.028829865759262593,7.666260108891769e-05,0.0001529185705455305
