Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,26208,66563,6,11,0.6470588235294118,0.2825149803853947,0.7174850196146053,0.44062667987527265,5.534224440866527e-05,-1.1741473811251477e-05,0.001218718298191886,3.602483200744125e-06,7.183731574413057e-06
MiniBatchKMeans,27356,65415,7,10,0.5882352941176471,0.2948980471612708,0.7051019528387291,0.43449875020984446,8.443741235129262e-05,5.995842298068348e-08,0.003213509822644627,9.324115749868855e-06,1.859427952071625e-05
GMM,36385,56386,8,9,0.5294117647058824,0.39221666594818294,0.6077833340518171,0.3847126203281284,2.5953952989126313e-05,-9.715772291991946e-06,0.0013162897063042488,3.458566660399286e-06,6.899006101253053e-06
Spectral,10,92761,0,17,1.0,0.00010777255679613743,0.9998922274432038,0.2706679328410173,-0.00013569542918733223,-7.45693044358073e-05,1.1222369177787445e-05,1.8079149754327832e-05,1.3848489795605651e-05
Birch,5548,87223,2,15,0.8823529411764706,0.059813769021856276,0.9401862309781437,0.4595121565920322,0.00033079756388115306,-1.7002781975466714e-05,0.0024541215244712074,1.9070343544727553e-05,3.784659102063236e-05
