KMeans,MiniBatchKMeans,GMM,Spectral,Birch
9_61104,9_60608,9_20380,9_1694,9_19914
9_61056,9_65877,9_53097,9_1695,9_19711
9_61086,9_60607,9_20505,9_1696,9_19698
9_61052,9_64210,9_21683,9_1697,9_20092
9_16135,9_65064,9_21762,9_1698,9_19685
9_91855,9_60706,9_79597,9_2154,9_19848
9_65093,9_14131,9_79599,9_2155,9_19922
9_61047,9_65861,9_25372,9_2156,9_19747
9_17275,9_60709,9_78502,9_2157,9_19680
9_17234,9_16998,9_78125,9_2158,9_68282
9_61072,9_14205,9_20213,,9_19360
9_64087,9_65676,9_17935,,9_20258
9_61171,9_65679,9_17934,,9_20528
9_65099,9_65680,9_31817,,9_19809
9_23507,9_62613,9_31818,,9_19656
9_63533,9_60589,9_23591,,9_19484
9_62522,9_65039,9_21695,,9_19870
9_25766,9_65864,9_22544,,9_19925
9_65172,9_64018,9_20733,,9_19474
9_61127,9_63747,9_4805,,9_68275
9_65173,9_25791,9_4806,,9_19810
9_27648,9_63426,9_21767,,9_19437
9_16059,9_14218,9_21979,,9_20243
9_62525,9_60696,9_20242,,9_19658
9_27174,9_60698,9_20241,,9_19425
9_65106,9_60697,9_20240,,9_19549
9_17123,9_16939,9_53073,,9_68244
9_63673,9_67091,9_20628,,9_19967
9_61028,9_67092,9_23169,,9_68248
9_17048,9_63729,9_51029,,9_19807
9_61027,9_63665,9_91342,,9_19414
9_61051,9_27121,9_78516,,9_19946
9_62517,9_63790,9_20631,,9_19781
9_63032,9_66125,9_20507,,9_19587
9_63518,9_66126,9_18800,,9_19776
9_61113,9_66127,9_18986,,9_19671
9_16089,9_63461,9_79563,,9_19673
9_16088,9_64092,9_53156,,9_19672
9_63886,9_23755,9_31929,,9_19516
9_39025,9_16863,9_20470,,9_20113
9_39026,9_62797,9_20295,,9_19324
9_62925,9_24350,9_20653,,9_19955
9_17311,9_62336,9_11791,,9_19884
9_16150,9_62934,9_11789,,9_20097
9_16184,9_63761,9_11790,,9_68279
9_16087,9_62335,9_11788,,9_19301
9_16070,9_89935,9_23135,,9_19930
9_16071,9_64926,9_20306,,9_19954
9_16069,9_17100,9_16121,,9_19962
9_65226,9_63887,9_20198,,9_68270
