KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
8_688,8_7649,8_5602,8_3106,8_7682,8_7649
8_7649,8_688,8_8422,8_8144,8_2381,8_688
8_11773,8_11773,8_4652,8_8580,8_8573,8_5771
8_5771,8_5771,8_7806,8_1319,8_6081,8_11773
8_5681,8_5681,8_2597,8_3349,8_912,8_4919
8_4919,8_4919,8_4931,8_5288,8_3732,8_5681
8_622,8_622,8_2405,8_5933,8_2874,8_9015
8_9015,8_4765,8_4297,8_3562,8_4545,8_4765
8_4765,8_9015,8_7785,8_12725,8_2662,8_622
8_5300,8_5300,8_3518,8_12723,8_8895,8_770
8_8503,8_8503,8_6957,8_8353,8_1679,8_1600
8_4234,8_4234,8_6811,8_1735,8_7778,8_7757
8_7019,8_7019,8_2814,8_7042,8_2394,8_8503
8_770,8_1600,8_6958,8_3272,8_6768,8_5300
8_7757,8_770,8_2556,8_5685,8_740,8_5936
8_1600,8_7757,8_3915,8_2055,8_14138,8_7071
8_11791,8_7071,8_7847,8_7651,8_7683,8_11791
8_7071,8_5936,8_6954,8_1958,8_2382,8_1853
8_5936,8_11791,8_3213,8_4482,8_1132,8_7997
8_1853,8_1853,8_5775,8_5748,8_5079,8_1591
8_7997,8_7997,8_2399,8_5848,8_12682,8_744
8_744,8_7977,8_4359,8_5008,8_13919,8_5690
8_1591,8_5690,8_7853,8_6882,8_1844,8_7977
8_7977,8_744,8_4212,8_4282,8_1012,8_7019
8_5690,8_1591,8_3214,8_5050,8_8210,8_4234
8_2872,8_4905,8_7282,8_7858,8_2308,8_5410
8_7900,8_7547,8_7412,8_13564,8_2092,8_10275
8_7547,8_3602,8_5861,8_3833,8_6772,8_2872
8_3602,8_7900,8_6775,8_8345,8_3331,8_7900
8_4905,8_2872,8_2907,8_3182,8_5049,8_7547
8_1363,8_1363,8_3474,8_2381,8_4245,8_4905
8_7541,8_7541,8_2676,8_6806,8_4799,8_3602
8_5410,8_10275,8_3763,8_5853,8_2535,8_2302
8_10275,8_5410,8_3249,8_7080,8_2209,8_8132
8_1261,8_1261,8_5852,8_3186,8_199,8_1363
8_2302,8_2302,8_5613,8_2302,8_12691,8_7541
8_8132,8_8132,8_7708,8_8132,8_3212,8_2068
8_1030,8_1030,8_7562,8_5504,8_4153,8_12393
8_2068,8_2068,8_2916,8_10087,8_5170,8_1944
8_12393,8_170,8_8228,8_7682,8_722,8_170
8_1944,8_836,8_2148,8_2965,8_1982,8_836
8_170,8_1944,8_7903,8_1959,8_14025,8_5875
8_836,8_12393,8_11618,8_3544,8_7080,8_1261
8_867,8_867,8_5297,8_2329,8_5853,8_1030
8_6915,8_6915,8_5168,8_3122,8_6806,8_3361
8_5875,8_5875,8_9387,8_3450,8_3138,8_867
8_7124,8_7124,8_3997,8_3940,8_4468,8_6915
8_1546,8_1546,8_2800,8_4231,8_2082,8_7124
8_1017,8_7116,8_7188,8_2303,8_561,8_1546
8_7116,8_1017,8_9548,8_1081,8_1958,8_7116
