Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,220,251,8,29,0.7837837837837838,0.44881889763779526,0.5511811023622047,0.3126754840764824,-0.007851589916791855,0.01736979438329165,0.03534277012851853,0.01340501183920493,0.01943761266171161
MiniBatchKMeans,213,258,8,29,0.7837837837837838,0.43503937007874016,0.5649606299212598,0.31479200606615093,-0.010749901926185971,0.015336673667955044,0.03155979809251983,0.01202639963885731,0.01741609794556851
GMM,136,335,3,34,0.918918918918919,0.2736220472440945,0.7263779527559056,0.12618094386934528,-0.047851823392106384,0.01910324592620343,0.03480771086911424,0.015475894248682037,0.021425689394671647
Hierarchical (ward),195,276,7,30,0.8108108108108109,0.39763779527559057,0.6023622047244095,0.3135743268694547,-0.018645659069796188,0.014677527333534857,0.030014380972509656,0.011652633874694288,0.016787696153938197
Spectral,194,277,6,31,0.8378378378378378,0.3937007874015748,0.6062992125984252,0.3129119734484033,-0.021171602844209474,0.019158720641129848,0.03794811450417044,0.014769433659988205,0.021263210418880314
Birch,154,317,6,31,0.8378378378378378,0.31496062992125984,0.6850393700787402,0.28600978719459286,-0.029599912927737854,0.008509421838948733,0.018219824371281976,0.007630250126264429,0.010756009018286229
