KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_99,6_355,6_99,6_177,6_52,6_428
6_392,6_15,6_392,6_178,6_84,6_345
6_15,6_99,6_177,6_392,6_358,6_344
6_14,6_436,6_178,6_99,6_500,6_343
6_436,6_14,6_87,6_87,6_171,6_342
6_177,6_392,6_15,6_40,6_13,6_341
6_178,6_208,6_355,6_39,6_438,6_51
6_87,6_194,6_14,6_355,6_439,6_299
6_115,6_195,6_39,6_15,6_53,6_421
6_40,6_201,6_40,6_115,6_169,6_425
6_39,6_202,6_436,6_14,6_435,6_119
6_355,6_204,6_115,6_436,6_74,6_427
6_53,6_213,6_170,6_170,6_359,6_295
6_349,6_211,6_53,6_341,6_170,6_149
6_359,6_207,6_349,6_343,6_349,6_56
6_170,6_59,6_500,6_342,6_44,6_491
6_500,6_58,6_359,6_344,6_43,6_484
6_171,6_178,6_171,6_345,6_447,6_292
6_9,6_177,6_394,6_394,6_50,6_298
6_434,6_349,6_341,6_500,6_115,6_291
6_433,6_88,6_342,6_53,6_14,6_40
6_10,6_361,6_343,6_171,6_348,6_39
6_52,6_10,6_344,6_349,6_356,6_127
6_58,6_9,6_345,6_127,6_9,6_151
6_59,6_434,6_58,6_359,6_433,6_178
6_208,6_433,6_59,6_421,6_10,6_177
6_211,6_359,6_207,6_425,6_434,6_394
6_194,6_87,6_213,6_299,6_360,6_79
6_195,6_53,6_194,6_52,6_436,6_114
6_204,6_352,6_195,6_59,6_23,6_87
6_213,6_115,6_202,6_58,6_67,6_368
6_202,6_39,6_208,6_208,6_352,6_328
6_201,6_40,6_211,6_202,6_7,6_294
6_207,6_89,6_204,6_195,6_87,6_367
6_352,6_357,6_201,6_204,6_49,6_116
6_169,6_360,6_434,6_207,6_99,6_108
6_358,6_23,6_433,6_213,6_15,6_262
6_84,6_27,6_10,6_201,6_392,6_261
6_360,6_500,6_9,6_211,6_47,6_260
6_43,6_69,6_52,6_194,6_445,6_258
6_44,6_68,6_127,6_434,6_354,6_256
6_23,6_171,6_425,6_433,6_39,6_255
6_348,6_170,6_421,6_10,6_40,6_259
6_361,6_348,6_169,6_9,6_18,6_115
6_13,6_43,6_352,6_169,6_368,6_392
6_447,6_44,6_299,6_368,6_340,6_82
6_88,6_25,6_361,6_428,6_168,6_94
6_357,6_52,6_88,6_97,6_167,6_97
6_439,6_394,6_368,6_94,6_367,6_65
6_438,6_353,6_358,6_119,6_350,6_170
