KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_241,6_473,6_241,6_197,6_494,6_496
6_231,6_218,6_480,6_480,6_329,6_497
6_230,6_173,6_479,6_241,6_332,6_506
6_475,6_175,6_197,6_479,6_330,
6_508,6_176,6_239,6_245,6_312,
6_480,6_463,6_508,6_246,6_313,
6_242,6_464,6_245,6_508,6_314,
6_243,6_465,6_246,6_239,6_317,
6_189,6_174,6_231,6_477,6_323,
6_479,6_182,6_230,6_231,6_325,
6_197,6_471,6_477,6_267,6_327,
6_239,6_230,6_242,6_230,6_326,
6_245,6_217,6_475,6_242,6_81,
6_246,6_480,6_182,6_475,6_507,
6_332,6_231,6_243,6_243,6_82,
6_190,6_239,6_471,6_182,6_304,
6_252,6_241,6_218,6_252,6_189,
6_463,6_479,6_267,6_248,6_331,
6_465,6_214,6_473,6_471,6_83,
6_173,6_462,6_252,6_191,6_475,
6_174,6_332,6_217,6_270,6_230,
6_175,6_470,6_173,6_218,6_190,
6_176,6_197,6_174,6_249,6_231,
6_464,6_187,6_175,6_473,6_465,
6_191,6_507,6_176,6_470,6_464,
6_182,6_475,6_463,6_217,6_463,
6_473,6_215,6_465,6_189,6_173,
6_218,6_453,6_464,6_251,6_174,
6_248,6_451,6_189,6_173,6_175,
6_471,6_454,6_191,6_174,6_176,
6_270,6_477,6_248,6_175,6_79,
6_249,6_508,6_470,6_464,6_85,
6_267,6_329,6_270,6_465,6_80,
6_251,6_189,6_249,6_463,6_328,
6_477,6_482,6_332,6_176,6_151,
6_217,6_472,6_190,6_190,6_86,
6_507,6_304,6_251,6_332,6_491,
6_329,6_328,6_462,6_187,6_57,
6_470,6_242,6_187,6_462,6_56,
6_250,6_245,6_453,6_268,6_66,
6_462,6_193,6_451,6_453,6_243,
6_214,6_246,6_454,6_454,6_242,
6_494,6_243,6_215,6_451,6_65,
6_187,6_151,6_214,6_215,6_473,
6_215,6_190,6_472,6_250,6_241,
6_304,6_302,6_250,6_269,6_218,
6_454,6_459,6_507,6_214,6_399,
6_451,6_460,6_268,6_472,6_400,
6_453,6_461,6_269,6_254,6_401,
6_268,6_82,6_329,6_274,6_471,
