Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,153,318,10,27,0.7297297297297297,0.32086614173228345,0.6791338582677166,0.4098023990818325,-0.01023418328906111,-0.0011879425677649292,0.0018192791938892857,0.0007564193725884741,0.0010685551829046924
MiniBatchKMeans,188,283,14,23,0.6216216216216216,0.39763779527559057,0.6023622047244095,0.3728931769147511,-0.002520102346712488,-0.002014825163867439,0.0002343767887446621,9.099327787134951e-05,0.00013109203613377582
GMM,136,335,9,28,0.7567567567567568,0.2854330708661417,0.7145669291338582,0.4045895368932497,-0.010745232905203322,-0.0015165747546699625,0.0013532942327076605,0.000590437344342914,0.0008221664578675538
Hierarchical (ward),122,349,9,28,0.7567567567567568,0.2578740157480315,0.7421259842519685,0.40727986891749696,-0.004727672254704851,-0.002314547651957336,0.00017036881414631192,7.787196044517199e-05,0.00010688778729542037
Spectral,220,251,18,19,0.5135135135135135,0.468503937007874,0.531496062992126,0.3587640916709271,6.0877050068883034e-05,-0.001994031598034001,0.00019526742379934975,7.37125292677978e-05,0.00010702400329636346
Birch,2,469,1,36,0.972972972972973,0.005905511811023622,0.9940944881889764,0.6159113575138855,0.03625965106641669,0.006290238262572683,0.006566056497225689,0.04733202345832252,0.011532312112478712
