Method,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Cluster 0 Percentage,Cluster 1 Percentage,Silhouette Score,Adjusted Rand Index,Adjusted Mutual Information,Homogeneity Score,Completeness Score,V-Measure Score
KMeans,157,329,6,16,0.7272727272727273,0.32086614173228345,0.6791338582677166,0.4098023990818325,-0.00635541782014448,-0.0019078478642854386,0.0013877841398581745,0.0003943509657577825,0.0006141779196109277
MiniBatchKMeans,193,293,9,13,0.5909090909090909,0.39763779527559057,0.6023622047244095,0.3728931769147511,0.0004485725080552582,-0.0023517008883236316,6.930400738569371e-05,1.8388688528749373e-05,2.9065358119518622e-05
GMM,139,347,6,16,0.7272727272727273,0.2854330708661417,0.7145669291338582,0.4045895368932497,-0.002348747680067921,-0.0025824018637063406,0.00010134663735040878,3.0219594280231098e-05,4.6556844023521e-05
Hierarchical (ward),126,360,5,17,0.7727272727272727,0.2578740157480315,0.7421259842519685,0.40727986891749696,-0.006107964464497136,-0.002431159405236602,0.0006375631751453328,0.00019916450040249688,0.00030351560003011107
Spectral,229,257,9,13,0.5909090909090909,0.468503937007874,0.531496062992126,0.3587640916709271,-0.0014091028942835734,-0.001579690299465572,0.001812195736734897,0.00046753520628692655,0.0007433028973880346
Birch,3,483,0,22,1.0,0.005905511811023622,0.9940944881889764,0.6159113575138855,-0.010001364734391156,-0.003080347828316558,0.0014706870576246737,0.00724550107082675,0.0024450744967488003
