KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_274,6_71,6_144,6_71,6_71,6_71
6_46,6_274,6_185,6_274,6_46,6_274
6_71,6_46,6_168,6_46,6_274,6_46
6_207,6_378,6_375,6_13,6_13,6_13
6_378,6_207,6_414,6_122,6_122,6_122
6_13,6_13,6_228,6_304,6_304,6_304
6_304,6_304,6_161,6_378,6_207,6_409
6_122,6_122,6_317,6_207,6_378,6_349
6_456,6_275,6_63,6_275,6_275,6_378
6_275,6_309,6_127,6_309,6_456,6_207
6_309,6_456,6_151,6_456,6_309,6_435
6_149,6_149,6_271,6_349,6_349,6_230
6_401,6_401,6_45,6_401,6_55,6_316
6_468,6_468,6_216,6_55,6_156,6_127
6_450,6_450,6_224,6_156,6_401,6_205
6_416,6_416,6_193,6_149,6_149,6_159
6_156,6_156,6_200,6_468,6_468,6_440
6_55,6_55,6_397,6_450,6_450,6_190
6_157,6_157,6_223,6_416,6_416,6_213
6_177,6_177,6_232,6_9,6_9,6_277
6_388,6_388,6_11,6_70,6_388,6_276
6_9,6_9,6_278,6_388,6_70,6_348
6_463,6_70,6_133,6_409,6_409,6_309
6_337,6_420,6_16,6_177,6_157,6_275
6_70,6_349,6_209,6_157,6_177,6_456
6_420,6_337,6_294,6_435,6_435,6_310
6_239,6_42,6_125,6_420,6_420,6_475
6_42,6_239,6_296,6_348,6_129,6_346
6_349,6_463,6_298,6_68,6_184,6_164
6_68,6_154,6_260,6_154,6_68,6_51
6_154,6_68,6_269,6_184,6_154,6_87
6_184,6_184,6_360,6_239,6_51,6_137
6_100,6_129,6_227,6_42,6_239,6_379
6_244,6_500,6_323,6_129,6_42,6_494
6_500,6_100,6_189,6_337,6_348,6_59
6_129,6_244,6_316,6_51,6_160,6_489
6_199,6_199,6_230,6_440,6_368,6_188
6_40,6_40,6_321,6_463,6_48,6_144
6_471,6_48,6_19,6_160,6_40,6_185
6_48,6_51,6_393,6_368,6_337,6_160
6_162,6_435,6_358,6_40,6_440,6_368
6_51,6_368,6_120,6_48,6_346,6_197
6_160,6_160,6_361,6_346,6_463,6_158
6_368,6_409,6_233,6_162,6_162,6_235
6_435,6_162,6_140,6_244,6_59,6_55
6_417,6_348,6_502,6_100,6_199,6_156
6_430,6_471,6_290,6_500,6_100,6_9
6_409,6_346,6_173,6_199,6_500,6_434
6_322,6_322,6_279,6_59,6_244,6_180
6_348,6_430,6_87,6_205,6_205,6_401
