KMeans,MiniBatchKMeans,GMM,Hierarchical (ward),Spectral,Birch
6_99,6_355,6_178,6_177,6_52,6_428
6_392,6_15,6_177,6_178,6_84,6_345
6_15,6_99,6_99,6_392,6_358,6_344
6_14,6_436,6_392,6_99,6_500,6_343
6_436,6_14,6_355,6_87,6_171,6_342
6_178,6_211,6_15,6_355,6_439,6_341
6_177,6_210,6_87,6_39,6_438,6_51
6_87,6_208,6_14,6_40,6_53,6_299
6_355,6_204,6_436,6_15,6_13,6_425
6_115,6_202,6_39,6_14,6_359,6_421
6_40,6_207,6_40,6_115,6_169,6_119
6_39,6_195,6_115,6_436,6_74,6_427
6_349,6_194,6_170,6_394,6_435,6_295
6_53,6_201,6_394,6_170,6_349,6_149
6_359,6_213,6_349,6_345,6_43,6_71
6_170,6_392,6_53,6_341,6_447,6_56
6_500,6_59,6_359,6_343,6_170,6_491
6_171,6_58,6_500,6_344,6_50,6_484
6_10,6_178,6_171,6_342,6_14,6_292
6_9,6_177,6_345,6_127,6_348,6_298
6_434,6_88,6_341,6_53,6_115,6_127
6_433,6_349,6_342,6_349,6_356,6_40
6_58,6_361,6_343,6_500,6_9,6_39
6_59,6_9,6_344,6_171,6_433,6_291
6_194,6_433,6_204,6_359,6_434,6_151
6_211,6_434,6_195,6_425,6_10,6_178
6_210,6_10,6_201,6_421,6_360,6_177
6_208,6_87,6_211,6_299,6_436,6_394
6_207,6_359,6_210,6_201,6_23,6_79
6_204,6_53,6_208,6_202,6_352,6_87
6_202,6_89,6_207,6_207,6_15,6_114
6_201,6_352,6_202,6_204,6_99,6_368
6_213,6_115,6_213,6_213,6_7,6_328
6_195,6_69,6_194,6_211,6_49,6_367
6_52,6_68,6_59,6_195,6_87,6_294
6_352,6_357,6_58,6_194,6_67,6_116
6_361,6_39,6_434,6_208,6_392,6_115
6_169,6_40,6_433,6_210,6_47,6_392
6_360,6_27,6_10,6_59,6_354,6_255
6_23,6_23,6_9,6_58,6_39,6_261
6_358,6_360,6_127,6_10,6_40,6_259
6_43,6_25,6_52,6_9,6_445,6_258
6_88,6_309,6_425,6_434,6_18,6_262
6_84,6_315,6_421,6_433,6_368,6_256
6_348,6_316,6_88,6_97,6_340,6_260
6_447,6_493,6_352,6_94,6_357,6_94
6_357,6_306,6_169,6_52,6_167,6_97
6_341,6_305,6_361,6_116,6_168,6_108
6_342,6_307,6_299,6_169,6_166,6_65
6_343,6_318,6_97,6_119,6_367,6_82
